Name	Major_Name	Marker	Ensembl	Major_Coefficient	Minor_Coefficient	Queried	Queried_Name	Queried_Marker	Queried_Major_Name	Parent_Name
ENDOTHELIAL	Endothelial	Ctla2a	Ctla2a	0.140342951149718		Queried	Endothelial	Ctla2a	Endothelial	
ENDOTHELIAL	Endothelial	Flt1	Flt1	0.271814597852484		Queried	Endothelial	Flt1	Endothelial	
ENDOTHELIAL	Endothelial	Id1	Id1	0.131389266425371		Queried	Endothelial	Id1	Endothelial	
ENDOTHELIAL	Endothelial	Itm2a	Itm2a	0.189257086563552		Queried	Endothelial	Itm2a	Endothelial	
ENDOTHELIAL	Endothelial	Klf2	Klf2	0.146926530071474		Queried	Endothelial	Klf2	Endothelial	
ENDOTHELIAL	Endothelial	Ly6a	Ly6a	0.165822988201259		Queried	Endothelial	Ly6a	Endothelial	
ENDOTHELIAL	Endothelial	Ly6c1	Ly6c1	0.21631193586958		Queried	Endothelial	Ly6c1	Endothelial	
ENDOTHELIAL	Endothelial	Mecom	Mecom	0.145194616276627		Queried	Endothelial	Mecom	Endothelial	
ENDOTHELIAL	Endothelial	Plcb1	Plcb1	0.156181530159602		Queried	Endothelial	Plcb1	Endothelial	
ENDOTHELIAL	Endothelial	Pltp	Pltp	0.176753807089356		Queried	Endothelial	Pltp	Endothelial	
ENDOTHELIAL	Endothelial	Ptprb	Ptprb	0.152349510446106		Queried	Endothelial	Ptprb	Endothelial	
ENDOTHELIAL	Endothelial	Ptprm	Ptprm	0.149914875778828		Queried	Endothelial	Ptprm	Endothelial	
ENDOTHELIAL	Endothelial	Slco1a4	Slco1a4	0.144399461520577		Queried	Endothelial	Slco1a4	Endothelial	
ENDOTHELIAL	Endothelial	Tm4sf1	Tm4sf1	0.1242595915227		Queried	Endothelial	Tm4sf1	Endothelial	
HC	HC	Arhgap15	Arhgap15	0.216445518698614		Queried	HC	Arhgap15	HC	
HC	HC	Calb1	Calb1	0.420354961934462		Queried	HC	Calb1	HC	
HC	HC	Chgb	Chgb	0.216123840614776		Queried	HC	Chgb	HC	
HC	HC	Dock4	Dock4	0.182557832373957		Queried	HC	Dock4	HC	
HC	HC	Egfem1	Egfem1	0.181120700748679		Queried	HC	Egfem1	HC	
HC	HC	Frmpd4	Frmpd4	0.178693606142804		Queried	HC	Frmpd4	HC	
HC	HC	Galnt18	Galnt18	0.146048986165016		Queried	HC	Galnt18	HC	
HC	HC	Hs6st3	Hs6st3	0.211739181034148		Queried	HC	Hs6st3	HC	
HC	HC	Megf11	Megf11	0.179275991424295		Queried	HC	Megf11	HC	
HC	HC	Ndrg1	Ndrg1	0.236791401166929		Queried	HC	Ndrg1	HC	
HC	HC	Nebl	Nebl	0.255315056296949		Queried	HC	Nebl	HC	
HC	HC	Rgs3	Rgs3	0.14293927465516		Queried	HC	Rgs3	HC	
HC	HC	Ryr3	Ryr3	0.127065908769814		Queried	HC	Ryr3	HC	
HC	HC	Thsd7b	Thsd7b	0.281056147786331		Queried	HC	Thsd7b	HC	
HC	HC	Utrn	Utrn	0.214197970415914		Queried	HC	Utrn	HC	
HC	HC	Vim	Vim	0.329297352140436		Queried	HC	Vim	HC	
HC	HC	Vwc2	Vwc2	0.164677137918127		Queried	HC	Vwc2	HC	
MG	MG	Abca8a	Abca8a	0.234912560792445		Queried	MG	Abca8a	MG	
MG	MG	Acsl3	Acsl3	0.352118886860667		Queried	MG	Acsl3	MG	
MG	MG	Aqp4	Aqp4	0.346058551494766		Queried	MG	Aqp4	MG	
MG	MG	Clu	Clu	0.519694276021353		Queried	MG	Clu	MG	
MG	MG	Col9a1	Col9a1	0.361425361233667		Queried	MG	Col9a1	MG	
MG	MG	Dbi	Dbi	0.406263605953113		Queried	MG	Dbi	MG	
MG	MG	Dkk3	Dkk3	0.311583896376605		Queried	MG	Dkk3	MG	
MG	MG	Glul	Glul	0.713277237086002		Queried	MG	Glul	MG	
MG	MG	Gng5	Gng5	0.328761364710965		Queried	MG	Gng5	MG	
MG	MG	Gpr37	Gpr37	0.342904207659925		Queried	MG	Gpr37	MG	
MG	MG	Il33	Il33	0.318082373327286		Queried	MG	Il33	MG	
MG	MG	Prdx6	Prdx6	0.476966852597634		Queried	MG	Prdx6	MG	
MG	MG	Rlbp1	Rlbp1	0.334110047399776		Queried	MG	Rlbp1	MG	
MG	MG	Spc25	Spc25	0.245748209868291		Queried	MG	Spc25	MG	
MICROGLIA	Microglia	C1qa	C1qa	0.244111584514908		Queried	Microglia	C1qa	Microglia	
MICROGLIA	Microglia	C1qb	C1qb	0.283947919191187		Queried	Microglia	C1qb	Microglia	
MICROGLIA	Microglia	C1qc	C1qc	0.18757256775417		Queried	Microglia	C1qc	Microglia	
MICROGLIA	Microglia	Ctss	Ctss	0.328744365767676		Queried	Microglia	Ctss	Microglia	
MICROGLIA	Microglia	Ctsz	Ctsz	0.134626531806563		Queried	Microglia	Ctsz	Microglia	
MICROGLIA	Microglia	Hexb	Hexb	0.205597705379035		Queried	Microglia	Hexb	Microglia	
MICROGLIA	Microglia	Laptm5	Laptm5	0.151279925857432		Queried	Microglia	Laptm5	Microglia	
