Marker,Name,Major_Coefficient,Parent_Name,Minor_Coefficient,Queried,Queried_Marker,Queried_Name,Queried_Parent_Name
Igfbp7,ENDOTHELIAL,0.139250719042558,ENDOTHELIAL,,Queried,Igfbp7,Endothelial,Endothelial
Slco1a4,ENDOTHELIAL,0.144399461520577,ENDOTHELIAL,,Queried,Slco1a4,Endothelial,Endothelial
Mecom,ENDOTHELIAL,0.145194616276627,ENDOTHELIAL,,Queried,Mecom,Endothelial,Endothelial
Ctla2a,ENDOTHELIAL,0.140342951149718,ENDOTHELIAL,,Queried,Ctla2a,Endothelial,Endothelial
Tm4sf1,ENDOTHELIAL,0.1242595915227,ENDOTHELIAL,,Queried,Tm4sf1,Endothelial,Endothelial
Ly6a,ENDOTHELIAL,0.165822988201259,ENDOTHELIAL,,Queried,Ly6a,Endothelial,Endothelial
Id1,ENDOTHELIAL,0.131389266425371,ENDOTHELIAL,,Queried,Id1,Endothelial,Endothelial
Cldn5,ENDOTHELIAL,0.335506606676733,ENDOTHELIAL,,Queried,Cldn5,Endothelial,Endothelial
Arl15,ENDOTHELIAL,0.138562890776231,ENDOTHELIAL,,Queried,Arl15,Endothelial,Endothelial
Bsg,ENDOTHELIAL,0.135233537352829,ENDOTHELIAL,,Queried,Bsg,Endothelial,Endothelial
Flt1,ENDOTHELIAL,0.271814597852484,ENDOTHELIAL,,Queried,Flt1,Endothelial,Endothelial
Ptprb,ENDOTHELIAL,0.152349510446106,ENDOTHELIAL,,Queried,Ptprb,Endothelial,Endothelial
Ptprm,ENDOTHELIAL,0.149914875778828,ENDOTHELIAL,,Queried,Ptprm,Endothelial,Endothelial
Hs6st3,HC,0.211739181034148,HC,,Queried,Hs6st3,HC,HC
Vim,HC,0.329297352140436,HC,,Queried,Vim,HC,HC
Nebl,HC,0.255315056296949,HC,,Queried,Nebl,HC,HC
Frmpd4,HC,0.178693606142804,HC,,Queried,Frmpd4,HC,HC
Thsd7b,HC,0.281056147786331,HC,,Queried,Thsd7b,HC,HC
Megf11,HC,0.179275991424295,HC,,Queried,Megf11,HC,HC
Ndrg1,HC,0.236791401166929,HC,,Queried,Ndrg1,HC,HC
Chgb,HC,0.216123840614776,HC,,Queried,Chgb,HC,HC
Utrn,HC,0.214197970415914,HC,,Queried,Utrn,HC,HC
Egfem1,HC,0.181120700748679,HC,,Queried,Egfem1,HC,HC
Ryr3,HC,0.127065908769814,HC,,Queried,Ryr3,HC,HC
Rgs3,HC,0.14293927465516,HC,,Queried,Rgs3,HC,HC
Calb1,HC,0.420354961934462,HC,,Queried,Calb1,HC,HC
C1ql1,HC,0.14332842136343,HC,,Queried,C1ql1,HC,HC
Dock4,HC,0.182557832373957,HC,,Queried,Dock4,HC,HC
Galnt18,HC,0.146048986165016,HC,,Queried,Galnt18,HC,HC
Vwc2,HC,0.164677137918127,HC,,Queried,Vwc2,HC,HC
Arhgap15,HC,0.216445518698614,HC,,Queried,Arhgap15,HC,HC
Rbms3,HC,0.127282809984231,HC,,Queried,Rbms3,HC,HC
Rlbp1,MG,0.334110047399776,MG,,Queried,Rlbp1,MG,MG
Spc25,MG,0.245748209868291,MG,,Queried,Spc25,MG,MG
Prdx6,MG,0.476966852597634,MG,,Queried,Prdx6,MG,MG
Abca8a,MG,0.234912560792445,MG,,Queried,Abca8a,MG,MG
Dbi,MG,0.406263605953113,MG,,Queried,Dbi,MG,MG
Glul,MG,0.713277237086002,MG,,Queried,Glul,MG,MG
Acsl3,MG,0.352118886860667,MG,,Queried,Acsl3,MG,MG
Clu,MG,0.519694276021353,MG,,Queried,Clu,MG,MG
Aqp4,MG,0.346058551494766,MG,,Queried,Aqp4,MG,MG
Col9a1,MG,0.361425361233667,MG,,Queried,Col9a1,MG,MG
Gng5,MG,0.328761364710965,MG,,Queried,Gng5,MG,MG
Gpr37,MG,0.342904207659925,MG,,Queried,Gpr37,MG,MG
Mfge8,MG,0.27244340873843,MG,,Queried,Mfge8,MG,MG
Il33,MG,0.318082373327286,MG,,Queried,Il33,MG,MG
Dkk3,MG,0.311583896376605,MG,,Queried,Dkk3,MG,MG
Hexb,MICROGLIA,0.205597705379035,MICROGLIA,,Queried,Hexb,Microglia,Microglia
C1qa,MICROGLIA,0.244111584514908,MICROGLIA,,Queried,C1qa,Microglia,Microglia
C1qb,MICROGLIA,0.283947919191187,MICROGLIA,,Queried,C1qb,Microglia,Microglia
C1qc,MICROGLIA,0.18757256775417,MICROGLIA,,Queried,C1qc,Microglia,Microglia
