Cell,Subclass,Ensembl,Gene,Coefficient
RGC,12_ooDS_NT,ENSMUSG00000055026,Gabrg3,0.7720569555937872
RGC,12_ooDS_NT,ENSMUSG00000036095,Dgkb,0.7457114750243518
RGC,12_ooDS_NT,ENSMUSG00000055421,Pcdh9,0.7248868211167917
RGC,12_ooDS_NT,ENSMUSG00000059742,Kcnh7,0.6959825836563387
RGC,12_ooDS_NT,ENSMUSG00000049100,Pcdh10,0.692362836299219
RGC,12_ooDS_NT,ENSMUSG00000038156,Spon1,0.6632071628364625
RGC,12_ooDS_NT,ENSMUSG00000021219,Rgs6,0.6293048729537104
RGC,12_ooDS_NT,ENSMUSG00000055409,Nell1,0.6216119142678779
RGC,12_ooDS_NT,ENSMUSG00000014846,Tppp3,0.6065990211368368
RGC,12_ooDS_NT,ENSMUSG00000092083,Kcnb2,0.5926729951270652
RGC,12_ooDS_NT,ENSMUSG00000038370,Pcp4l1,0.5747645292925956
RGC,12_ooDS_NT,ENSMUSG00000063600,Egfem1,0.5413757938537216
RGC,12_ooDS_NT,ENSMUSG00000029108,Pcdh7,0.5243041052058943
RGC,12_ooDS_NT,ENSMUSG00000064293,Cntn4,0.5239631256020221
RGC,12_ooDS_NT,ENSMUSG00000034098,Fstl5,0.5204448496318174
RGC,12_ooDS_NT,ENSMUSG00000028519,Dab1,0.519477869388354
RGC,12_ooDS_NT,ENSMUSG00000032936,Camkv,0.5057528098314318
RGC,12_ooDS_NT,ENSMUSG00000043531,Sorcs1,-1.1429576469355103
RGC,12_ooDS_NT,ENSMUSG00000019888,Mgat4c,-1.007171503868971
RGC,12_ooDS_NT,ENSMUSG00000057098,Ebf1,-1.0030141294702406
RGC,12_ooDS_NT,ENSMUSG00000029088,Kcnip4,-0.8926004880595169
RGC,12_ooDS_NT,ENSMUSG00000034755,Pcdh11x,-0.8727344431540827
RGC,12_ooDS_NT,ENSMUSG00000045083,Lingo2,-0.823478694737579
RGC,12_ooDS_NT,ENSMUSG00000039488,Cntn5,-0.7710327588901351
RGC,12_ooDS_NT,ENSMUSG00000038530,Rgs4,-0.7216655766543704
RGC,12_ooDS_NT,ENSMUSG00000032532,Cck,-0.7060788403791518
RGC,12_ooDS_NT,ENSMUSG00000009734,Pou6f2,-0.6544505959293259
RGC,12_ooDS_NT,ENSMUSG00000031561,Tenm3,-0.6513127648869834
RGC,12_ooDS_NT,ENSMUSG00000074505,Fat3,-0.6302386398378576
RGC,12_ooDS_NT,ENSMUSG00000053310,Nrgn,-0.6246014413727413
RGC,12_ooDS_NT,ENSMUSG00000039419,Cntnap2,-0.6213573386204041
RGC,12_ooDS_NT,ENSMUSG00000049336,Tenm2,-0.5895642247384948
RGC,12_ooDS_NT,ENSMUSG00000060924,Csmd1,-0.5891596247655511
RGC,12_ooDS_NT,ENSMUSG00000028222,Calb1,-0.5836051964500243
RGC,12_ooDS_NT,ENSMUSG00000064341,mt-Nd1,-0.5736954979911715
RGC,12_ooDS_NT,ENSMUSG00000032036,Kirrel3,-0.5735394469532744
RGC,12_ooDS_NT,ENSMUSG00000023064,Sncg,-0.5466780711291117
RGC,13_Novel,ENSMUSG00000039488,Cntn5,1.1053513572526046
RGC,13_Novel,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,0.904471705831869
RGC,13_Novel,ENSMUSG00000055026,Gabrg3,0.8901341066571418
RGC,13_Novel,ENSMUSG00000025867,Cplx2,0.8536829122396207
RGC,13_Novel,ENSMUSG00000022952,Runx1,0.7661165522238053
RGC,13_Novel,ENSMUSG00000036815,Dpp10,0.6899819782442481
RGC,13_Novel,ENSMUSG00000029108,Pcdh7,0.6281327912419932
RGC,13_Novel,ENSMUSG00000021680,Crhbp,0.5961307759226313
RGC,13_Novel,ENSMUSG00000063873,Slc24a3,0.5759350198755182
RGC,13_Novel,ENSMUSG00000034098,Fstl5,0.5441549101583403
RGC,13_Novel,ENSMUSG00000034755,Pcdh11x,0.5379531971760529
RGC,13_Novel,ENSMUSG00000051910,Sox6,0.5292902647087938
RGC,13_Novel,ENSMUSG00000030844,Rgs10,0.5201450995888937
RGC,13_Novel,ENSMUSG00000053519,Kcnip1,0.4977253807534128
RGC,13_Novel,ENSMUSG00000049336,Tenm2,0.4907953718587553
RGC,13_Novel,ENSMUSG00000040420,Cdh18,0.48829363709342843
RGC,13_Novel,ENSMUSG00000074505,Fat3,0.4765788213880364
RGC,13_Novel,ENSMUSG00000014846,Tppp3,0.4655740679440409
RGC,13_Novel,ENSMUSG00000003657,Calb2,0.46545226634770787
RGC,13_Novel,ENSMUSG00000032036,Kirrel3,0.46363390270550436
RGC,13_Novel,ENSMUSG00000090223,Pcp4,-1.3517145142522675
RGC,13_Novel,ENSMUSG00000020704,Asic2,-1.2923079422082486
RGC,13_Novel,ENSMUSG00000043531,Sorcs1,-1.0385319053370146
RGC,13_Novel,ENSMUSG00000032452,Clstn2,-0.8051246130761698
RGC,13_Novel,ENSMUSG00000047907,Tshz2,-0.746192485489002
RGC,13_Novel,ENSMUSG00000008658,Rbfox1,-0.7355818340559814
RGC,13_Novel,ENSMUSG00000021536,Adcy2,-0.7200410347029348
RGC,13_Novel,ENSMUSG00000005716,Pvalb,-0.7173467631863722
RGC,13_Novel,ENSMUSG00000046159,Chrm3,-0.7006089987302923
RGC,13_Novel,ENSMUSG00000059857,Ntng1,-0.6633938591030948
RGC,13_Novel,ENSMUSG00000029088,Kcnip4,-0.6559155416008488
RGC,13_Novel,ENSMUSG00000044071,Tafa2,-0.6065730271580212
RGC,13_Novel,ENSMUSG00000041741,Pde3a,-0.5483127960198729
RGC,13_Novel,ENSMUSG00000027533,Fabp5,-0.5350255082083174
RGC,13_Novel,ENSMUSG00000039706,Ldb2,-0.4731578624993939
RGC,13_Novel,ENSMUSG00000064341,mt-Nd1,-0.45885259365360304
RGC,13_Novel,ENSMUSG00000092094,Zfp804b,-0.458521561681169
RGC,13_Novel,ENSMUSG00000074968,Ano3,-0.45704886545053286
RGC,13_Novel,ENSMUSG00000027674,Pex5l,-0.4568002805462773
RGC,13_Novel,ENSMUSG00000071424,Grid2,-0.44379005395189364
RGC,14_ooDS_Cck,ENSMUSG00000021647,Cartpt,1.1950537098239382
RGC,14_ooDS_Cck,ENSMUSG00000019888,Mgat4c,0.977734802123602
RGC,14_ooDS_Cck,ENSMUSG00000032532,Cck,0.9488832365779257
RGC,14_ooDS_Cck,ENSMUSG00000043531,Sorcs1,0.8891162782323667
RGC,14_ooDS_Cck,ENSMUSG00000032036,Kirrel3,0.8183353979570374
RGC,14_ooDS_Cck,ENSMUSG00000022037,Clu,0.7829225333312099
RGC,14_ooDS_Cck,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,0.645471869505912
RGC,14_ooDS_Cck,ENSMUSG00000009734,Pou6f2,0.6253575288987159
RGC,14_ooDS_Cck,ENSMUSG00000028883,Sema3a,0.6210314503473763
RGC,14_ooDS_Cck,ENSMUSG00000031772,Cntnap4,0.5944258032015466
RGC,14_ooDS_Cck,ENSMUSG00000060924,Csmd1,0.5718565573249915
RGC,14_ooDS_Cck,ENSMUSG00000023064,Sncg,0.5225139012941712
RGC,14_ooDS_Cck,ENSMUSG00000022762,Ncam2,0.5105347326946806
RGC,14_ooDS_Cck,ENSMUSG00000040420,Cdh18,0.49609814807982877
RGC,14_ooDS_Cck,ENSMUSG00000020704,Asic2,0.47243072127866004
RGC,14_ooDS_Cck,ENSMUSG00000045083,Lingo2,0.4385972572150658
RGC,14_ooDS_Cck,ENSMUSG00000037653,Kctd8,0.4112221437870209
RGC,14_ooDS_Cck,ENSMUSG00000024074,Crim1,0.4041148420829597
RGC,14_ooDS_Cck,ENSMUSG00000030772,Dkk3,0.40259520859993647
RGC,14_ooDS_Cck,ENSMUSG00000063887,Nlgn1,0.3836885186798442
RGC,14_ooDS_Cck,ENSMUSG00000050711,Scg2,-1.0090413639253208
RGC,14_ooDS_Cck,ENSMUSG00000059742,Kcnh7,-0.8579444417132976
RGC,14_ooDS_Cck,ENSMUSG00000029108,Pcdh7,-0.7388839934568211
RGC,14_ooDS_Cck,ENSMUSG00000033615,Cplx1,-0.6142389873454408
RGC,14_ooDS_Cck,ENSMUSG00000050587,Lrrc4c,-0.5842085434054558
RGC,14_ooDS_Cck,ENSMUSG00000022636,Alcam,-0.5614471447542324
RGC,14_ooDS_Cck,ENSMUSG00000025551,Fgf14,-0.5610022935347314
RGC,14_ooDS_Cck,ENSMUSG00000055409,Nell1,-0.5431695960613886
RGC,14_ooDS_Cck,ENSMUSG00000026576,Atp1b1,-0.5330893577852254
RGC,14_ooDS_Cck,ENSMUSG00000029088,Kcnip4,-0.5154086505843882
RGC,14_ooDS_Cck,ENSMUSG00000047907,Tshz2,-0.4932440424863576
RGC,14_ooDS_Cck,ENSMUSG00000027777,Schip1,-0.48732176998990984
RGC,14_ooDS_Cck,ENSMUSG00000029580,Actb,-0.47747998185763074
RGC,14_ooDS_Cck,ENSMUSG00000049100,Pcdh10,-0.47302618469784236
RGC,14_ooDS_Cck,ENSMUSG00000008658,Rbfox1,-0.4582071484784805
RGC,14_ooDS_Cck,ENSMUSG00000029838,Ptn,-0.4558787817544128
RGC,14_ooDS_Cck,ENSMUSG00000028519,Dab1,-0.43424925383367685
RGC,14_ooDS_Cck,ENSMUSG00000074968,Ano3,-0.43189679107288653
RGC,14_ooDS_Cck,ENSMUSG00000039385,Cdh6,-0.42166546950175
RGC,14_ooDS_Cck,ENSMUSG00000031925,Maml2,-0.4195433958556508
RGC,15_Novel,ENSMUSG00000027210,Meis2,1.5484937387300195
