Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Ogfrl1,RGC,13_Novel,ENSMUSG00000026158,Ogfrl1,0.3995929084546739
Pcdh7,RGC,13_Novel,ENSMUSG00000029108,Pcdh7,0.5841340290528876
Slc35f1,RGC,13_Novel,ENSMUSG00000038602,Slc35f1,0.6545941146483754
Cplx2,RGC,13_Novel,ENSMUSG00000025867,Cplx2,0.6928594589933962
Pcdh11x,RGC,13_Novel,ENSMUSG00000034755,Pcdh11x,0.4336876236088281
Fstl5,RGC,13_Novel,ENSMUSG00000034098,Fstl5,0.483954381521188
Slc24a3,RGC,13_Novel,ENSMUSG00000063873,Slc24a3,0.4141385559150236
Tenm2,RGC,13_Novel,ENSMUSG00000049336,Tenm2,0.552084599602664
Dpp10,RGC,13_Novel,ENSMUSG00000036815,Dpp10,0.6826433028852563
Gabrg3,RGC,13_Novel,ENSMUSG00000055026,Gabrg3,0.8704405226159329
Cartpt,RGC,13_Novel,ENSMUSG00000021647,Cartpt,0.4309969280360407
Fat3,RGC,13_Novel,ENSMUSG00000074505,Fat3,0.4079997029266777
Mgat4c,RGC,14_ooDS_Cck,ENSMUSG00000019888,Mgat4c,1.0938510512835091
Clu,RGC,14_ooDS_Cck,ENSMUSG00000022037,Clu,0.6058806711310829
Kirrel3,RGC,14_ooDS_Cck,ENSMUSG00000032036,Kirrel3,0.939322881096538
Nalf1,RGC,14_ooDS_Cck,ENSMUSG00000079157,Nalf1,0.456961591128924
Cdh18,RGC,14_ooDS_Cck,ENSMUSG00000040420,Cdh18,0.4799667570574008
Nrg1_ENSMUSG00000062991,RGC,14_ooDS_Cck,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,0.6889044250122374
Snca,RGC,14_ooDS_Cck,ENSMUSG00000025889,Snca,0.4997425780889222
Csmd1,RGC,14_ooDS_Cck,ENSMUSG00000060924,Csmd1,0.4971959208862527
Sorcs1,RGC,14_ooDS_Cck,ENSMUSG00000043531,Sorcs1,0.8106210222357194
Cartpt,RGC,14_ooDS_Cck,ENSMUSG00000021647,Cartpt,1.1835738008794987
Zfhx3,RGC,14_ooDS_Cck,ENSMUSG00000038872,Zfhx3,0.5782278221483753
Nlgn1,RGC,14_ooDS_Cck,ENSMUSG00000063887,Nlgn1,0.4421035777347831
Lingo2,RGC,14_ooDS_Cck,ENSMUSG00000045083,Lingo2,0.5146769954706037
Pou6f2,RGC,14_ooDS_Cck,ENSMUSG00000009734,Pou6f2,0.6059571635691473
Nrxn3,RGC,14_ooDS_Cck,ENSMUSG00000066392,Nrxn3,0.6152275186926462
Sema3a,RGC,14_ooDS_Cck,ENSMUSG00000028883,Sema3a,0.6102751868666824
Asic2,RGC,14_ooDS_Cck,ENSMUSG00000020704,Asic2,0.5623781824788742
Cck,RGC,14_ooDS_Cck,ENSMUSG00000032532,Cck,0.847257899270524
Mid1,RGC,15_Novel,ENSMUSG00000035299,Mid1,0.5241624969720485
Schip1,RGC,15_Novel,ENSMUSG00000027777,Schip1,0.4352628383314596
Cpne4,RGC,15_Novel,ENSMUSG00000032564,Cpne4,0.4818416125554559
Meis2,RGC,15_Novel,ENSMUSG00000027210,Meis2,1.044994156411246
Cntnap5a,RGC,15_Novel,ENSMUSG00000070695,Cntnap5a,0.7983753501513411
Crhbp,RGC,15_Novel,ENSMUSG00000021680,Crhbp,1.0021798689123018
Tmsb4x,RGC,15_Novel,ENSMUSG00000049775,Tmsb4x,0.6477470752828793
Tshz2,RGC,15_Novel,ENSMUSG00000047907,Tshz2,0.541169012699693
Asic2,RGC,15_Novel,ENSMUSG00000020704,Asic2,0.5365291896704856
Pcdh11x,RGC,15_Novel,ENSMUSG00000034755,Pcdh11x,0.7339916103605024
Ogfrl1,RGC,15_Novel,ENSMUSG00000026158,Ogfrl1,0.6584322071933925
Grin2a,RGC,15_Novel,ENSMUSG00000059003,Grin2a,0.4060524714679425
Cartpt,RGC,15_Novel,ENSMUSG00000021647,Cartpt,0.5930876094051083
Nrgn,RGC,15_Novel,ENSMUSG00000053310,Nrgn,0.7995380024128459
Tppp3,RGC,15_Novel,ENSMUSG00000014846,Tppp3,0.4633470987088441
