Gene,Cell,Subclass,Ensembl,Gene,Coefficient
Cntn5,RGC,13_Novel,ENSMUSG00000039488,Cntn5,1.1053513572526046
Crhbp,RGC,13_Novel,ENSMUSG00000021680,Crhbp,0.5961307759226313
Clu,RGC,14_ooDS_Cck,ENSMUSG00000022037,Clu,0.7829225333312099
Ncam2,RGC,14_ooDS_Cck,ENSMUSG00000022762,Ncam2,0.5105347326946806
Csmd1,RGC,14_ooDS_Cck,ENSMUSG00000060924,Csmd1,0.5718565573249915
Asic2,RGC,14_ooDS_Cck,ENSMUSG00000020704,Asic2,0.47243072127866
Nlgn1,RGC,14_ooDS_Cck,ENSMUSG00000063887,Nlgn1,0.3836885186798442
Lingo2,RGC,14_ooDS_Cck,ENSMUSG00000045083,Lingo2,0.4385972572150658
Kirrel3,RGC,14_ooDS_Cck,ENSMUSG00000032036,Kirrel3,0.8183353979570374
Sema3a,RGC,14_ooDS_Cck,ENSMUSG00000028883,Sema3a,0.6210314503473763
Pou6f2,RGC,14_ooDS_Cck,ENSMUSG00000009734,Pou6f2,0.6253575288987159
Cartpt,RGC,14_ooDS_Cck,ENSMUSG00000021647,Cartpt,1.1950537098239382
Kctd8,RGC,14_ooDS_Cck,ENSMUSG00000037653,Kctd8,0.4112221437870209
Cck,RGC,14_ooDS_Cck,ENSMUSG00000032532,Cck,0.9488832365779256
Cdh18,RGC,14_ooDS_Cck,ENSMUSG00000040420,Cdh18,0.4960981480798287
Nrg1_ENSMUSG00000062991,RGC,14_ooDS_Cck,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,0.645471869505912
Dkk3,RGC,14_ooDS_Cck,ENSMUSG00000030772,Dkk3,0.4025952085999364
Sorcs1,RGC,14_ooDS_Cck,ENSMUSG00000043531,Sorcs1,0.8891162782323667
Mgat4c,RGC,14_ooDS_Cck,ENSMUSG00000019888,Mgat4c,0.977734802123602
Nrgn,RGC,15_Novel,ENSMUSG00000053310,Nrgn,0.7183086169722838
Tppp3,RGC,15_Novel,ENSMUSG00000014846,Tppp3,0.5247604021881795
Pcdh11x,RGC,15_Novel,ENSMUSG00000034755,Pcdh11x,0.9525679253983236
Tmsb4x,RGC,15_Novel,ENSMUSG00000049775,Tmsb4x,0.8393960701143818
Cntnap5a,RGC,15_Novel,ENSMUSG00000070695,Cntnap5a,0.9951994421169532
Cpne4,RGC,15_Novel,ENSMUSG00000032564,Cpne4,0.5422427145049575
Crhbp,RGC,15_Novel,ENSMUSG00000021680,Crhbp,1.19370377126048
Tshz2,RGC,15_Novel,ENSMUSG00000047907,Tshz2,0.6786446882614714
Grin2a,RGC,15_Novel,ENSMUSG00000059003,Grin2a,0.645954363934205
Synpr,RGC,15_Novel,ENSMUSG00000056296,Synpr,0.8172174643517173
Ebf1,RGC,15_Novel,ENSMUSG00000057098,Ebf1,0.6054160225187522
Meis2,RGC,15_Novel,ENSMUSG00000027210,Meis2,1.5484937387300195
Kirrel3,RGC,15_Novel,ENSMUSG00000032036,Kirrel3,0.6872077879703157
Tenm3,RGC,15_Novel,ENSMUSG00000031561,Tenm3,0.5717239183841107
Mid1,RGC,15_Novel,ENSMUSG00000035299,Mid1,0.5942998177532299
Tenm2,RGC,16_ooDS_DV,ENSMUSG00000049336,Tenm2,0.4607716432312811
Ebf1,RGC,16_ooDS_DV,ENSMUSG00000057098,Ebf1,0.4007546968308528
Crhbp,RGC,16_ooDS_DV,ENSMUSG00000021680,Crhbp,0.7584958315178886
Aldoc,RGC,16_ooDS_DV,ENSMUSG00000017390,Aldoc,0.4430212871023154
Rgs4,RGC,16_ooDS_DV,ENSMUSG00000038530,Rgs4,0.6231010062099105
Hs3st4,RGC,16_ooDS_DV,ENSMUSG00000078591,Hs3st4,1.129921685827742
Tafa1,RGC,16_ooDS_DV,ENSMUSG00000059187,Tafa1,0.6006442397049165
Gm32647,RGC,16_ooDS_DV,ENSMUSG00000108532,Gm32647,0.3969379134236139
Cplx2,RGC,16_ooDS_DV,ENSMUSG00000025867,Cplx2,0.6130720892004088
Nrn1,RGC,16_ooDS_DV,ENSMUSG00000039114,Nrn1,0.5362204525794108
Scg2,RGC,16_ooDS_DV,ENSMUSG00000050711,Scg2,0.4947476442588671
