Gene,Cell Type,Gene,Coefficient
Tafa1,16_ooDS_DV,Tafa1,0.5149040380692473
Nrn1,16_ooDS_DV,Nrn1,0.3129480968843959
Opcml,16_ooDS_DV,Opcml,0.3499960264915796
Cplx2,16_ooDS_DV,Cplx2,0.331900338479524
Pcp4,16_ooDS_DV,Pcp4,0.3888659182533645
6330411D24Rik,16_ooDS_DV,6330411D24Rik,0.32538116519949
Ralyl,16_ooDS_DV,Ralyl,0.2842653688090162
Rgs4,16_ooDS_DV,Rgs4,0.604112684224465
Cntn5,16_ooDS_DV,Cntn5,0.4868259722093943
Gm32647,16_ooDS_DV,Gm32647,0.3325844959241776
Cdh6,16_ooDS_DV,Cdh6,0.7838889099604528
Ebf1,16_ooDS_DV,Ebf1,0.3071330874509159
Hs3st4,16_ooDS_DV,Hs3st4,0.7450732302727034
Scg2,16_ooDS_DV,Scg2,0.5284084549846081
Col25a1,16_ooDS_DV,Col25a1,0.5978589386113071
Clstn2,16_ooDS_DV,Clstn2,0.3521776359760589
Alk,16_ooDS_DV,Alk,0.3138447309115399
Pcp4,17_Tbr1_S1,Pcp4,0.5495286877965374
Crhbp,17_Tbr1_S1,Crhbp,0.4039399077668497
Ctxn3,17_Tbr1_S1,Ctxn3,0.6165840973246689
Hs3st4,17_Tbr1_S1,Hs3st4,0.5373806848982322
Ntng1,17_Tbr1_S1,Ntng1,0.4592330054981841
Zmat4,17_Tbr1_S1,Zmat4,0.3720489589435535
Ebf1,17_Tbr1_S1,Ebf1,0.3768828935183768
Nrgn,17_Tbr1_S1,Nrgn,1.0411606089703795
Lrrc4c,17_Tbr1_S1,Lrrc4c,0.7445334185917996
Kirrel3,17_Tbr1_S1,Kirrel3,0.4539573363480235
Rgs4,17_Tbr1_S1,Rgs4,0.4164877345807766
Cntnap5a,17_Tbr1_S1,Cntnap5a,0.7172498800508769
Meis2,17_Tbr1_S1,Meis2,0.7466379563861095
Rprm,17_Tbr1_S1,Rprm,0.5640454384985465
Nrg1_ENSMUSG00000062991,17_Tbr1_S1,Nrg1_ENSMUSG00000062991,0.4891318323417396
Pou6f2,17_Tbr1_S1,Pou6f2,0.4740938593389939
Inpp4b,17_Tbr1_S1,Inpp4b,0.4086665792140363
Csmd1,17_Tbr1_S1,Csmd1,0.4337698212178216
Vgf,18_Novel,Vgf,0.5331325703344179
Nefm,18_Novel,Nefm,0.4267626555627159
Il1rapl1,18_Novel,Il1rapl1,0.5386727805234011
Grin2a,18_Novel,Grin2a,1.0199465776513896
Spon1,18_Novel,Spon1,0.6605045284896994
Cdh18,18_Novel,Cdh18,0.8809288271980044
Lrrtm4,18_Novel,Lrrtm4,0.9641834847134182
Csmd1,18_Novel,Csmd1,0.5236516431495081
Spock1,18_Novel,Spock1,0.5234204481509811
Etl4,18_Novel,Etl4,0.398512048349301
Nrn1,18_Novel,Nrn1,0.4316565083392784
Aldoc,18_Novel,Aldoc,0.5672475418533299
Pcdh9,18_Novel,Pcdh9,0.5386276467183134
Cntnap2,18_Novel,Cntnap2,0.511507377632362
Pou6f2,18_Novel,Pou6f2,0.827579815060488
Rbpms,18_Novel,Rbpms,0.4003966084429768
Rgs6,18_Novel,Rgs6,0.5877969820391197
Kcnh7,19_Novel,Kcnh7,0.3143845007859043
Schip1,19_Novel,Schip1,0.7312511696156834
Tafa1,19_Novel,Tafa1,0.5752756573787225
Hs6st3,19_Novel,Hs6st3,0.4738025739398173
Ldb2,19_Novel,Ldb2,0.3887977447963596
Pcdh9,19_Novel,Pcdh9,0.5641348510362905
Brinp3,19_Novel,Brinp3,0.3848380706020941
Lrrc4c,19_Novel,Lrrc4c,0.6599790585856748
Penk,19_Novel,Penk,0.7523821165529598
Tenm1,19_Novel,Tenm1,0.3923063965651832
Csmd3,19_Novel,Csmd3,0.4007453383571476
Nell1,19_Novel,Nell1,0.5927895346856445
Id4,19_Novel,Id4,0.2925541560727168
Nefm,19_Novel,Nefm,0.423462592712765
Alcam,19_Novel,Alcam,0.4695285225354409
Ebf3,19_Novel,Ebf3,0.4091239517099863
Sorcs1,19_Novel,Sorcs1,0.323945564315071
Nkain3,19_Novel,Nkain3,0.3506825068688085
C130073E24Rik,1_W3D1.1,C130073E24Rik,0.6580616173695558
Alcam,1_W3D1.1,Alcam,0.6146843313130175
Nrn1,1_W3D1.1,Nrn1,0.4797888606847415
Serpine2,1_W3D1.1,Serpine2,0.5978500262158518
Kcnc2,1_W3D1.1,Kcnc2,0.600362844894487
Brinp3,1_W3D1.1,Brinp3,0.4753886431960628
Cntnap5a,1_W3D1.1,Cntnap5a,0.8509513364162667
Ptprm,1_W3D1.1,Ptprm,0.6462427321241051
Megf11,1_W3D1.1,Megf11,0.5825050667916147
Sgcz,1_W3D1.1,Sgcz,0.6242478833429613
Hspb1,1_W3D1.1,Hspb1,0.9283955307374212
Pcdh10,1_W3D1.1,Pcdh10,1.026052035312679
Ncam2,1_W3D1.1,Ncam2,1.071694885492846
Mgat4c,1_W3D1.1,Mgat4c,0.5233141632505621
Rbpms2,1_W3D1.1,Rbpms2,0.5365509573436031
Phactr1,1_W3D1.1,Phactr1,0.4735129618737432
Tshz2,20_Novel,Tshz2,0.7446867896168645
Nfib,20_Novel,Nfib,0.5598397192198324
Nnat,20_Novel,Nnat,0.5491704805972546
Penk,20_Novel,Penk,1.4837648218586676
Cd63,20_Novel,Cd63,0.5223079238552368
Cntn5,20_Novel,Cntn5,0.6197112329795246
Pcdh9,20_Novel,Pcdh9,0.869944239860425
Gm32647,20_Novel,Gm32647,0.6516148854882489
Resp18,20_Novel,Resp18,0.7260604663109106
