Gene,Cell Type,Gene,Coefficient
Dpp10,35_Novel,Dpp10,0.7704156754114095
Nkain2,35_Novel,Nkain2,0.7143837316744064
Kirrel3,35_Novel,Kirrel3,1.6485986817223983
Schip1,35_Novel,Schip1,0.8799148928365007
Astn2,35_Novel,Astn2,0.6136419693022905
Etl4,35_Novel,Etl4,0.4762026022436629
Hs6st3,35_Novel,Hs6st3,0.6392708574015329
Opcml,35_Novel,Opcml,0.6564857596731064
Crhbp,35_Novel,Crhbp,0.5980654754278227
Rbpms,35_Novel,Rbpms,0.5407350083248875
Trhde,35_Novel,Trhde,0.4959090789291144
Lrrtm4,35_Novel,Lrrtm4,0.4861224183558185
Ebf1,35_Novel,Ebf1,0.7174070538280561
Tenm3,35_Novel,Tenm3,0.6192055881736696
Nrg1_ENSMUSG00000062991,35_Novel,Nrg1_ENSMUSG00000062991,1.3945408190406825
Cpne9,36_Novel,Cpne9,0.4468349791525235
6330411D24Rik,36_Novel,6330411D24Rik,0.4736457113924867
Cdh6,36_Novel,Cdh6,0.5048705233707351
Stxbp6,36_Novel,Stxbp6,0.6732852310113618
Cdh12,36_Novel,Cdh12,0.4348949738260599
Slc8a1,36_Novel,Slc8a1,0.6669417259697344
Gpc6,36_Novel,Gpc6,0.4911821350428169
Pitpnc1,36_Novel,Pitpnc1,0.3909914482487172
Opcml,36_Novel,Opcml,0.4099532447290648
Rgs6,36_Novel,Rgs6,0.3852744617195437
Ldhb,36_Novel,Ldhb,0.4878869656393963
Coch,36_Novel,Coch,1.0806002118156934
Pcdh11x,36_Novel,Pcdh11x,0.5992282041830325
Gabrb1,36_Novel,Gabrb1,0.3994917336586414
Csmd1,36_Novel,Csmd1,1.2809699761469864
Pcdh17,36_Novel,Pcdh17,0.4381967207687771
Nrg1_ENSMUSG00000062991,36_Novel,Nrg1_ENSMUSG00000062991,0.614199010957626
Cplx1,36_Novel,Cplx1,0.6297013830357311
Sorcs1,36_Novel,Sorcs1,0.409764844774667
Brinp3,37_Novel,Brinp3,0.4299025421161485
Atp1b1,37_Novel,Atp1b1,0.4221896349578078
Rbms3,37_Novel,Rbms3,0.3634985523038129
Rgs6,37_Novel,Rgs6,0.5254438137122677
Ldhb,37_Novel,Ldhb,0.3973306878025903
Ntng1,37_Novel,Ntng1,0.5173362750823418
Pcdh7,37_Novel,Pcdh7,0.5983517811298574
Cdh8,37_Novel,Cdh8,0.3576625023646392
Unc5d,37_Novel,Unc5d,0.3637616145640266
Lingo2,37_Novel,Lingo2,0.3465302547313068
Csmd1,37_Novel,Csmd1,0.3989283554066216
Alk,37_Novel,Alk,0.4595829697367841
Pcp4l1,37_Novel,Pcp4l1,0.3432162166489461
Aldoc,37_Novel,Aldoc,0.4470776140588941
Gpc5,37_Novel,Gpc5,0.438719803400894
Il1rapl2,37_Novel,Il1rapl2,0.4383835431887372
Cplx1,37_Novel,Cplx1,0.3849857276944861
Chrm3,38_FmidiON,Chrm3,0.5244602032506657
Vsnl1,38_FmidiON,Vsnl1,0.4443395577932189
P3h2,38_FmidiON,P3h2,0.3882602010007192
Foxp2,38_FmidiON,Foxp2,0.6793358039863379
Nrgn,38_FmidiON,Nrgn,0.4355243011229105
Cntnap2,38_FmidiON,Cntnap2,0.6735001324509192
Sorcs1,38_FmidiON,Sorcs1,0.7786659625420412
Pcdh11x,38_FmidiON,Pcdh11x,0.3469662943856871
Scg2,38_FmidiON,Scg2,0.555275276599589
Meis2,38_FmidiON,Meis2,1.311731971230361
Pcp4l1,38_FmidiON,Pcp4l1,0.3541948287226248
Nrn1,38_FmidiON,Nrn1,0.5884979150334423
Ebf3,38_FmidiON,Ebf3,0.5401056101603037
Kcnb2,38_FmidiON,Kcnb2,0.4011506768158801
Dpp10,38_FmidiON,Dpp10,0.8981528634804021
Pvalb,38_FmidiON,Pvalb,0.8629561582103091
Unc5c,38_FmidiON,Unc5c,0.6939613150908777
Tshz2,38_FmidiON,Tshz2,0.4144403580859614
Pvalb,39_Novel,Pvalb,0.3138252883001661
Slc24a2,39_Novel,Slc24a2,0.279818983471483
Csmd3,39_Novel,Csmd3,0.4278364146130206
Alk,39_Novel,Alk,0.3437466392622769
Kcnh7,39_Novel,Kcnh7,0.2660765269756779
Lrrtm4,39_Novel,Lrrtm4,0.4218193519926475
Pcdh17,39_Novel,Pcdh17,0.3248113392147774
Kcnip1,39_Novel,Kcnip1,0.3651132857161884
Cplx1,39_Novel,Cplx1,0.5810494163450672
Nefm,39_Novel,Nefm,0.5141864755505403
Sorcs1,39_Novel,Sorcs1,0.4957619815148691
Pex5l,39_Novel,Pex5l,0.5482378776522856
Ano3,39_Novel,Ano3,0.2784300771541053
S100b,39_Novel,S100b,0.4903158028974423
Spon1,39_Novel,Spon1,0.3129303333305044
6330411D24Rik,39_Novel,6330411D24Rik,0.4635542398538058
Vsnl1,39_Novel,Vsnl1,0.2714344405895096
Cntn5,39_Novel,Cntn5,0.350602922328181
Dpp10,3_FminiON,Dpp10,0.3816534196954073
Schip1,3_FminiON,Schip1,0.288386453496093
Foxp2,3_FminiON,Foxp2,0.8371406124723718
Frmpd4,3_FminiON,Frmpd4,0.2745063150178429
Mgat4c,3_FminiON,Mgat4c,0.4696387801331382
Pvalb,3_FminiON,Pvalb,0.411734671983068
Kctd8,3_FminiON,Kctd8,0.3447396122880574
Kcnd2,3_FminiON,Kcnd2,0.4865391589808498
Nlgn1,3_FminiON,Nlgn1,0.2757413400979645
Ptprm,3_FminiON,Ptprm,0.2926894885739713
Grid2,3_FminiON,Grid2,0.7996088588101066
D130079A08Rik,3_FminiON,D130079A08Rik,0.3652993593599035
Spon1,3_FminiON,Spon1,0.4306480488291666
Nrgn,3_FminiON,Nrgn,0.4831176095145708
Trarg1,3_FminiON,Trarg1,0.4970535981908057
Kcnq5,3_FminiON,Kcnq5,0.3537455628393417
Ptchd4,3_FminiON,Ptchd4,0.3993550707294392
Pcdh7,3_FminiON,Pcdh7,0.6474134619688261
Resp18,40_M1dup,Resp18,0.1830753982982615
Clstn2,40_M1dup,Clstn2,0.2092887158819157
Nrg1_ENSMUSG00000062991,40_M1dup,Nrg1_ENSMUSG00000062991,0.2652533455668042
Cntnap2,40_M1dup,Cntnap2,0.2821240425662931
Thsd7b,40_M1dup,Thsd7b,0.3828321823383359
Unc5d,40_M1dup,Unc5d,0.2708271696821928
Opn4,40_M1dup,Opn4,0.566607427256367
Sdk1,40_M1dup,Sdk1,0.2337681981454662
Opcml,40_M1dup,Opcml,0.2933160941768163
Gm32647,40_M1dup,Gm32647,0.4287108987989398
Cd24a,40_M1dup,Cd24a,0.39995188697885
Sgcz,40_M1dup,Sgcz,0.2168872353030752
Ebf3,40_M1dup,Ebf3,0.2443875154827957
Rbms3,40_M1dup,Rbms3,0.3734949606760154
Rprm,40_M1dup,Rprm,0.2892973720158552
Ptprm,40_M1dup,Ptprm,0.2126892337590311
Cpne4,40_M1dup,Cpne4,0.3962585008435715
Etl4,40_M1dup,Etl4,0.2652257035747608
Mgat4c,41_AlphaONT,Mgat4c,0.2728664876036428
Epha6,41_AlphaONT,Epha6,0.2677198252843993
Sema3a,41_AlphaONT,Sema3a,0.2891466401780241
Pcdh17,41_AlphaONT,Pcdh17,0.2922912316156797
Gm32647,41_AlphaONT,Gm32647,0.31427787125455
Kcnb2,41_AlphaONT,Kcnb2,0.3172914908688808
Pvalb,41_AlphaONT,Pvalb,0.7632888456138078
Aldoc,41_AlphaONT,Aldoc,0.2606010276983753
Pcdh9,41_AlphaONT,Pcdh9,0.2992625992823463
Spp1,41_AlphaONT,Spp1,0.5367221171328125
Nefm,41_AlphaONT,Nefm,0.2422882279864503
Clu,41_AlphaONT,Clu,0.2713039140773151
Cplx1,41_AlphaONT,Cplx1,0.2375501660841923
Sgcz,41_AlphaONT,Sgcz,0.3924293201480641
Rgs6,41_AlphaONT,Rgs6,0.2628020698464074
Asic2,41_AlphaONT,Asic2,0.2228030940666021
Nkain2,41_AlphaONT,Nkain2,0.2657935095003148
Etv1,41_AlphaONT,Etv1,0.811746833150369
Cdkn1c,41_AlphaONT,Cdkn1c,0.3646234149232933
Crip2,41_AlphaONT,Crip2,0.3315397858096672
Nefm,42_AlphaOFFS,Nefm,0.3603270804347257
Nme7,42_AlphaOFFS,Nme7,0.2796445029323536
Ralyl,42_AlphaOFFS,Ralyl,0.2361610703286209
Cdh12,42_AlphaOFFS,Cdh12,0.2455541290545703
Nrg1_ENSMUSG00000062991,42_AlphaOFFS,Nrg1_ENSMUSG00000062991,0.1885659759762221
Ntng1,42_AlphaOFFS,Ntng1,0.4716121863146084
Sparcl1,42_AlphaOFFS,Sparcl1,0.2141958768323632
Spp1,42_AlphaOFFS,Spp1,0.8039029881585923
Lrrc4c,42_AlphaOFFS,Lrrc4c,0.2462795578171028
Nxph1,42_AlphaOFFS,Nxph1,0.2493257096528743
Zmat4,42_AlphaOFFS,Zmat4,0.3135740465445238
Pvalb,42_AlphaOFFS,Pvalb,0.3486009101123481
Meis2,42_AlphaOFFS,Meis2,0.3087384600118482
Aldoc,42_AlphaOFFS,Aldoc,0.2232221287964851
Kcnc2,42_AlphaOFFS,Kcnc2,0.1886174130099795
Igfbp2,42_AlphaOFFS,Igfbp2,0.3292870417053227
Fabp5,42_AlphaOFFS,Fabp5,0.198382295453228
Ctxn3,42_AlphaOFFS,Ctxn3,0.2704723852843606
Cplx1,42_AlphaOFFS,Cplx1,0.2819059615775052
Calb1,43_AlphaONS,Calb1,0.3827368000150231
Il1rapl2,43_AlphaONS,Il1rapl2,0.4943379450046857
Sdk1,43_AlphaONS,Sdk1,0.1733237547176516
Coch,43_AlphaONS,Coch,0.1629866581625464
Aldoc,43_AlphaONS,Aldoc,0.1605079690692173
Ctxn3,43_AlphaONS,Ctxn3,0.4917492481992006
Nefm,43_AlphaONS,Nefm,0.2744687873473938
Cplx1,43_AlphaONS,Cplx1,0.201782971677951
Gm32647,43_AlphaONS,Gm32647,0.2135592039944446
Sgcz,43_AlphaONS,Sgcz,0.2058338956141862
S100b,43_AlphaONS,S100b,0.167405182615902
Pvalb,43_AlphaONS,Pvalb,0.3575623026907526
Dlgap1,43_AlphaONS,Dlgap1,0.1710326560422568
Nrg1_ENSMUSG00000062991,43_AlphaONS,Nrg1_ENSMUSG00000062991,0.239950071464421
Prph,43_AlphaONS,Prph,0.2612159019526745
Fat3,43_AlphaONS,Fat3,0.167776811490692
Slc24a2,43_AlphaONS,Slc24a2,0.1717023028623214
Spp1,43_AlphaONS,Spp1,0.4028000225547543
Rgs4,43_AlphaONS,Rgs4,0.2947043657761113
Pcdh9,44_Novel,Pcdh9,0.2409465617446793
Resp18,44_Novel,Resp18,0.2992080256299833
Lingo2,44_Novel,Lingo2,0.1985006752492806
Nell1,44_Novel,Nell1,0.180131925039855
Nlgn1,44_Novel,Nlgn1,0.2452931483308296
Gabrb1,44_Novel,Gabrb1,0.1781745995584812
Rgs6,44_Novel,Rgs6,0.2732061441049262
Sdk1,44_Novel,Sdk1,0.5587306602905002
Ebf3,44_Novel,Ebf3,0.2149569627635439
Pcdh17,44_Novel,Pcdh17,0.2170783125214904
Grm5,44_Novel,Grm5,0.3030208118177895
Etl4,44_Novel,Etl4,0.3899135467431401
Tenm1,44_Novel,Tenm1,0.2157350097171246
Sorcs1,44_Novel,Sorcs1,0.1872052822973151
Ntng1,44_Novel,Ntng1,0.2167172389850312
Chrm3,44_Novel,Chrm3,0.2617297716140038
Clu,44_Novel,Clu,0.2871116014915171
Cntnap2,44_Novel,Cntnap2,0.5578329518523377
Pou6f2,44_Novel,Pou6f2,0.2924976764639492
Pvalb,45_AlphaOFFT,Pvalb,0.0130809060295979
Cdkn1c,45_AlphaOFFT,Cdkn1c,0.0054865337725158
Spp1,45_AlphaOFFT,Spp1,0.0258780860724548
Coch,45_AlphaOFFT,Coch,0.0128714450851457
6330411D24Rik,45_AlphaOFFT,6330411D24Rik,0.0041982724592054
Igfbp2,45_AlphaOFFT,Igfbp2,0.0001631815833123
Etv1,45_AlphaOFFT,Etv1,0.0096736813136815
Mafb,45_AlphaOFFT,Mafb,0.0027841232027311
Tafa1,4_FminiOFF,Tafa1,0.7501603437138226
Rgs6,4_FminiOFF,Rgs6,0.4987638503274538
Lmo4,4_FminiOFF,Lmo4,0.6311680931997072
Csmd3,4_FminiOFF,Csmd3,0.4648137539583755
Reln,4_FminiOFF,Reln,0.3930764511222245
Rprm,4_FminiOFF,Rprm,0.9006240022799543
Gpc6,4_FminiOFF,Gpc6,0.3680095113552441
Rgs10,4_FminiOFF,Rgs10,0.4035597694249026
Lrrc4c,4_FminiOFF,Lrrc4c,0.7890101770305118
Pde1a,4_FminiOFF,Pde1a,0.6043571736732166
Tafa2,4_FminiOFF,Tafa2,0.6341932628373023
Tshz2,4_FminiOFF,Tshz2,0.6849823047418245
Galntl6,4_FminiOFF,Galntl6,0.6538490685560747
Foxp2,4_FminiOFF,Foxp2,0.408564900857212
Zeb2,4_FminiOFF,Zeb2,0.4367471351100172
Thrb,4_FminiOFF,Thrb,0.4373539971143519
Dpp10,4_FminiOFF,Dpp10,0.4234506412459887
Dgkb,5_J-RGC,Dgkb,0.8446221448259834
Ntrk3,5_J-RGC,Ntrk3,0.5197227212379901
Ctxn3,5_J-RGC,Ctxn3,0.4822589910305986
Lingo2,5_J-RGC,Lingo2,0.682664741766393
D130079A08Rik,5_J-RGC,D130079A08Rik,0.5490790323652955
Pcdh10,5_J-RGC,Pcdh10,0.5585585067982788
Tenm2,5_J-RGC,Tenm2,0.6151375534947627
Kcnd2,5_J-RGC,Kcnd2,0.8264742487429788
Crip2,5_J-RGC,Crip2,1.721893318215283
Ebf1,5_J-RGC,Ebf1,0.4656548073513563
Lrrc4c,5_J-RGC,Lrrc4c,0.7261623729886539
Spock3,5_J-RGC,Spock3,0.7740153668251312
Nav3,5_J-RGC,Nav3,0.5274682665993404
Slc24a2,5_J-RGC,Slc24a2,0.6634229378500688
Xist,5_J-RGC,Xist,0.7062482450948622
Nkain3,5_J-RGC,Nkain3,0.5082580297052082
Nrn1,6_W3B,Nrn1,0.4811163272592283
Kcnh7,6_W3B,Kcnh7,0.6100076150126348
Lrrc4c,6_W3B,Lrrc4c,0.5034463464365262
Ptn,6_W3B,Ptn,0.7620195951691444
Ptchd4,6_W3B,Ptchd4,0.3541095540073702
Galnt17,6_W3B,Galnt17,0.3399543139382207
Penk,6_W3B,Penk,1.3079245648651057
Pcdh17,6_W3B,Pcdh17,0.6848054562997543
Sgcd,6_W3B,Sgcd,0.7214671744042442
Pcdh7,6_W3B,Pcdh7,0.388891398244763
Grin2a,6_W3B,Grin2a,0.5786612095931406
Thy1,6_W3B,Thy1,0.3747009396317838
Kcnd2,6_W3B,Kcnd2,0.4133608436798865
Tppp3,6_W3B,Tppp3,0.3226386513619267
Sgcz,6_W3B,Sgcz,1.2729663248650895
Galntl6,6_W3B,Galntl6,0.39080284815348
Pcp4,6_W3B,Pcp4,0.6086620175943137
Rgs4,7_Novel,Rgs4,0.4419559999282373
Cdh6,7_Novel,Cdh6,0.4650362068756229
Lrrc4c,7_Novel,Lrrc4c,0.8145004876953603
Tbx20,7_Novel,Tbx20,0.6535885904388785
Tmeff2,7_Novel,Tmeff2,0.3146266239339849
Grid2,7_Novel,Grid2,0.4549827694578686
Etl4,7_Novel,Etl4,0.4606106215631622
Marchf1,7_Novel,Marchf1,0.352155665711119
Gabrg3,7_Novel,Gabrg3,0.8749088757723517
Kitl,7_Novel,Kitl,0.5738437235752768
Vsnl1,7_Novel,Vsnl1,0.5836785016991899
Synpr,7_Novel,Synpr,0.7315947440573127
Clstn2,7_Novel,Clstn2,0.3004213107897069
Grin2a,7_Novel,Grin2a,0.3354717376344871
Prph,7_Novel,Prph,0.7205064787684419
Nnat,7_Novel,Nnat,0.3345514892541638
Tenm3,7_Novel,Tenm3,0.318452776895062
Rbpms2,7_Novel,Rbpms2,0.3071132648628053
Egr1,7_Novel,Egr1,0.3142194358733582
Tmeff2,8_Novel,Tmeff2,0.4043675129692226
Mast4,8_Novel,Mast4,0.4984026928462554
Cntn5,8_Novel,Cntn5,0.6506559427558214
Ntrk3,8_Novel,Ntrk3,0.3788450886262715
Kcnd2,8_Novel,Kcnd2,0.4100207964569718
Etl4,8_Novel,Etl4,0.4701787496205906
Kirrel3,8_Novel,Kirrel3,0.6263170776035432
Kcnip1,8_Novel,Kcnip1,0.4521628380101088
Pou6f2,8_Novel,Pou6f2,0.5203840234365193
Clstn2,8_Novel,Clstn2,0.6302690959344059
Lrrtm4,8_Novel,Lrrtm4,0.6024385109271866
Pcdh9,8_Novel,Pcdh9,0.5846680398090335
Cdh18,8_Novel,Cdh18,0.6009955752611383
Ebf1,8_Novel,Ebf1,0.600057218395916
Lrfn5,8_Novel,Lrfn5,0.4166378666902515
Rgs4,8_Novel,Rgs4,0.4632460128315309
Cdh6,8_Novel,Cdh6,0.5030738481102547
Tac1,8_Novel,Tac1,1.182578637664562
Tshz2,8_Novel,Tshz2,0.5700294822566699
Luzp2,9_Tbr1_Novel,Luzp2,0.496689136175518
Mid1,9_Tbr1_Novel,Mid1,0.4794048691517347
Lrp1b,9_Tbr1_Novel,Lrp1b,0.4692275552068566
Calb1,9_Tbr1_Novel,Calb1,0.6867739088797361
Isl1,9_Tbr1_Novel,Isl1,0.3994152720119578
Sorcs3,9_Tbr1_Novel,Sorcs3,0.4909614659306585
Crhbp,9_Tbr1_Novel,Crhbp,0.8101554866657974
Lhfpl3,9_Tbr1_Novel,Lhfpl3,0.572808533650618
Cpne4,9_Tbr1_Novel,Cpne4,0.4017117191741045
Alcam,9_Tbr1_Novel,Alcam,0.4262831917903695
Ralyl,9_Tbr1_Novel,Ralyl,0.7405210984713602
Pcdh10,9_Tbr1_Novel,Pcdh10,0.4509304946193014
Gabrb1,9_Tbr1_Novel,Gabrb1,0.3947083876909908
Rprm,9_Tbr1_Novel,Rprm,0.4812877485909763
Gm32647,9_Tbr1_Novel,Gm32647,0.6733473587241103
Cntn5,9_Tbr1_Novel,Cntn5,0.4451670727875583
Cdh8,9_Tbr1_Novel,Cdh8,0.5653705642040127
Alk,9_Tbr1_Novel,Alk,0.3272160361302881
Scg2,9_Tbr1_Novel,Scg2,0.5466170654557879
Csmd1,9_Tbr1_Novel,Csmd1,0.6577240972316736
Tac2,AC,Tac2,0.9030981670513244
Adcy8,AC,Adcy8,0.4101868079563271
Spock1,AC,Spock1,0.4314140235122561
Fxyd6,AC,Fxyd6,0.4171768307134698
Sdk1,AC,Sdk1,0.3239185446487756
Fgf13,AC,Fgf13,0.4161840168767196
Cdh6,AC,Cdh6,0.3997990554228111
Fos,AC,Fos,0.4097332683767533
Vgf,AC,Vgf,0.3791562384331147
Pitpnc1,AC,Pitpnc1,0.3537961965192889
Dscam,AC,Dscam,0.3459818625489206
Pcdh7,AC,Pcdh7,0.3668697978754564
Rgs7,AC,Rgs7,0.3383844983059295
Nell1,AC,Nell1,0.3340194941219455
Hs6st3,AC,Hs6st3,0.3218284891814527
Nlgn1,AC,Nlgn1,0.3314830166011595
Plcb1,AC,Plcb1,0.3541331771042869
Ptn,AC_1,Ptn,0.645433292628948
Chst9,AC_1,Chst9,0.6719420571342355
Cacna2d1,AC_1,Cacna2d1,0.4674017883346748
Rbfox1,AC_1,Rbfox1,0.5575069721408628
Fgf14,AC_1,Fgf14,0.3973593070899718
Lingo2,AC_1,Lingo2,0.5676192281214345
Bhlhe22,AC_1,Bhlhe22,0.7479512882098446
Csmd1,AC_1,Csmd1,0.3547805427317087
Asic2,AC_1,Asic2,0.3965152844757403
Stmn1,AC_1,Stmn1,0.3304720081954549
Tenm3,AC_1,Tenm3,0.4765060489651913
Inpp4b,AC_1,Inpp4b,0.3415371367217465
Tenm2,AC_1,Tenm2,0.4098394425017385
Tafa2,AC_1,Tafa2,0.3547789519721867
Filip1l,AC_1,Filip1l,0.4281326075597317
Slit2,AC_1,Slit2,0.5483358189626792
Ebf1,AC_10,Ebf1,0.1796574604246935
Cntn6,AC_10,Cntn6,0.8864021688137071
Nrxn1,AC_10,Nrxn1,0.3112983229776113
Kcnd3,AC_10,Kcnd3,0.2072161634328597
Schip1,AC_10,Schip1,0.1830503319909376
Cacnb2,AC_10,Cacnb2,0.2600170158551851
Cck,AC_10,Cck,0.4934107810879424
Sox5,AC_10,Sox5,0.2608910273590055
Kirrel3,AC_10,Kirrel3,0.3590959059691558
Nkain2,AC_10,Nkain2,0.2316635455760445
Grik2,AC_10,Grik2,0.6069739672286757
Nckap5,AC_10,Nckap5,0.4786465220360831
Tenm2,AC_10,Tenm2,0.3312734824143111
Grid2,AC_11,Grid2,0.3793178014254736
Mgat4c,AC_11,Mgat4c,0.2443265817736668
Chrm3,AC_11,Chrm3,0.1713361878200437
Kcnd2,AC_11,Kcnd2,0.2397277326788633
Alk,AC_11,Alk,0.2067794449787885
Tenm1,AC_11,Tenm1,0.1627984396536303
Ptprm,AC_11,Ptprm,0.1923609314399721
Lrrc4c,AC_11,Lrrc4c,0.1664290935029434
Kcnip1,AC_11,Kcnip1,0.1853218759948321
C1ql1,AC_11,C1ql1,0.2214142347965694
Pde3a,AC_11,Pde3a,0.1936984899979592
Pantr1,AC_11,Pantr1,0.2358265452982065
Pcdh15,AC_11,Pcdh15,0.176043725125313
Nrg1_ENSMUSG00000062991,AC_11,Nrg1_ENSMUSG00000062991,0.2021586178920305
Tfap2b,AC_11,Tfap2b,0.198114007734184
Kcnh5,AC_11,Kcnh5,0.160371185706575
Camk4,AC_11,Camk4,0.1691765301255532
C1ql2,AC_11,C1ql2,0.1618921188896385
Rprm,AC_11,Rprm,0.1654353640015277
Rgs6,AC_12,Rgs6,0.352917288638844
Lamp5,AC_12,Lamp5,0.2447051004054938
Cntn4,AC_12,Cntn4,0.2307688870531421
Il1rapl2,AC_12,Il1rapl2,0.2042026504103612
Ptprt,AC_12,Ptprt,0.175053129972738
Ebf1,AC_12,Ebf1,0.1580839201505637
Slc24a3,AC_12,Slc24a3,0.2873218086555654
Cdh22,AC_12,Cdh22,0.2784444015748777
Zmat4,AC_12,Zmat4,0.1782355228302463
Kctd8,AC_12,Kctd8,0.2085476423181032
Gas7,AC_12,Gas7,0.3086275606403381
Chrm2,AC_12,Chrm2,0.2472360092577481
Gabra1,AC_12,Gabra1,0.3177905987303629
Rbms3,AC_12,Rbms3,0.3495216977767122
Ly6h,AC_12,Ly6h,0.2098237106900077
Glra3,AC_12,Glra3,0.4294420763204878
Pcdh7,AC_12,Pcdh7,0.4348441152341217
Khdrbs2,AC_13,Khdrbs2,0.2586220466680673
Gabra2,AC_13,Gabra2,0.3181066256539913
Il1rapl1,AC_13,Il1rapl1,0.2055031798185571
Sorcs1,AC_13,Sorcs1,0.3307087355690171
Alk,AC_13,Alk,0.2009823829097119
Gpc6,AC_13,Gpc6,0.2360758764889768
Nxph1,AC_13,Nxph1,0.658769595128087
Gria3,AC_13,Gria3,0.2812367008724429
Ptprm,AC_13,Ptprm,0.1969225898741908
Maml2,AC_13,Maml2,0.254242300428618
Grin2a,AC_13,Grin2a,0.3114500275436374
Tfap2b,AC_13,Tfap2b,0.2742765628414104
A930001A20Rik,AC_13,A930001A20Rik,0.4639536830288038
Slc24a3,AC_13,Slc24a3,0.2089383771992924
Lamp5,AC_13,Lamp5,0.2473837573929105
Car3,AC_13,Car3,0.3446876846138711
Prkg1,AC_13,Prkg1,0.1957615677596681
Slc17a8,AC_13,Slc17a8,0.6408950440211192
Pcdh7,AC_13,Pcdh7,0.4063381030230663
Slc1a3,AC_13,Slc1a3,0.2007404013946692
Cdk14,AC_14,Cdk14,0.2683332096533273
Gpm6b,AC_14,Gpm6b,0.3314702501559809
Cbln2,AC_14,Cbln2,0.7273353980839918
Inpp4b,AC_14,Inpp4b,0.314322930369206
Tenm3,AC_14,Tenm3,0.3511593297587372
Grik1,AC_14,Grik1,0.5329185522966852
Pcdh10,AC_14,Pcdh10,0.3502646386190035
Grin2a,AC_14,Grin2a,0.2831176126145079
Tfap2b,AC_14,Tfap2b,0.5650759267148351
C130073E24Rik,AC_14,C130073E24Rik,0.3020775493937148
Meis2,AC_14,Meis2,0.4255170185284537
Ralyl,AC_14,Ralyl,0.2480066314924806
Shisa8,AC_14,Shisa8,0.3551887646092263
Lingo2,AC_14,Lingo2,0.3283975496985772
Car8,AC_14,Car8,0.2730737867369762
Frmd5,AC_14,Frmd5,0.4381510379078566
Ptprt,AC_14,Ptprt,0.3434700515629731
Il1rapl2,AC_15,Il1rapl2,0.2972505271173801
Cdh22,AC_15,Cdh22,0.1708099596719366
Brinp3,AC_15,Brinp3,0.3583569907446661
Lamp5,AC_15,Lamp5,0.2887862657841089
Nlgn1,AC_15,Nlgn1,0.1793416846294628
Hs6st3,AC_15,Hs6st3,0.2174509232652004
Grid2,AC_15,Grid2,0.2812877528464989
Ebf1,AC_15,Ebf1,0.2244537920191282
Spock1,AC_15,Spock1,0.1862332673760936
Gsta4,AC_15,Gsta4,0.3520408810120741
Nnat,AC_15,Nnat,0.2529991031002234
Grik1,AC_15,Grik1,0.1713604528032138
Cacng3,AC_15,Cacng3,0.1874044587377447
Cacna2d3,AC_15,Cacna2d3,0.2019708119276625
Galntl6,AC_15,Galntl6,0.4900473391536412
Slc1a3,AC_15,Slc1a3,0.3012467228337517
Zmat4,AC_15,Zmat4,0.1949024496098839
Ptprt,AC_15,Ptprt,0.2567530666258472
Rprm,AC_15,Rprm,0.1797788709284119
Alk,AC_15,Alk,0.3147665824138782
Plxna4,AC_16,Plxna4,0.0995399091864093
Esrrg,AC_16,Esrrg,0.1015679647154395
Plcb1,AC_16,Plcb1,0.0908571422112343
Zmat4,AC_16,Zmat4,0.0977911538897446
AI593442,AC_16,AI593442,0.1297025904298003
Junb,AC_16,Junb,0.1003337892187956
Nell1,AC_16,Nell1,0.1103500070521659
Id4,AC_16,Id4,0.132062449371928
Dlgap2,AC_16,Dlgap2,0.1087437186449603
Shisa8,AC_16,Shisa8,0.1092604372881232
Filip1l,AC_16,Filip1l,0.1000041057216306
Tfap2b,AC_16,Tfap2b,0.0957077195645662
Pcdh7,AC_16,Pcdh7,0.1076081955121728
Dab1,AC_16,Dab1,0.1900779498962088
Nrg1_ENSMUSG00000062991,AC_16,Nrg1_ENSMUSG00000062991,0.1486583509302304
Frmd5,AC_16,Frmd5,0.0933954924500211
Csmd1,AC_16,Csmd1,0.1660683360116876
Adarb2,AC_16,Adarb2,0.2017974826697743
Fos,AC_16,Fos,0.1003945317630134
Med12l,AC_17,Med12l,0.109423806901141
Cdh6,AC_17,Cdh6,0.1081937087646087
Megf11,AC_17,Megf11,0.212409737458193
Gad1,AC_17,Gad1,0.1757417576499421
Zmat4,AC_17,Zmat4,0.2066324662537156
Col25a1,AC_17,Col25a1,0.2714686873507081
Sox2ot,AC_17,Sox2ot,0.2304684677013856
Sgcz,AC_17,Sgcz,0.1668744845602576
Etl4,AC_17,Etl4,0.2597411763019195
Spock3,AC_17,Spock3,0.1547079100368885
Il1rapl1,AC_17,Il1rapl1,0.1089749403677033
Rgs6,AC_17,Rgs6,0.192514735283585
Rbfox1,AC_17,Rbfox1,0.2108007746612331
Cacna2d1,AC_17,Cacna2d1,0.1266841844065749
Igfbp7,AC_17,Igfbp7,0.205075466953733
Pcp4,AC_17,Pcp4,0.1312034177645738
Kcnab1,AC_18,Kcnab1,0.2455605288151909
Il1rapl2,AC_18,Il1rapl2,0.3529203815628766
Chrm2,AC_18,Chrm2,0.2033430848927528
Anks1b,AC_18,Anks1b,0.1866681666081066
Cpne4,AC_18,Cpne4,0.5578423659153315
Epha6,AC_18,Epha6,0.2300583900801287
C1ql2,AC_18,C1ql2,0.2237775045173496
Il1rapl1,AC_18,Il1rapl1,0.3671602953306732
