Major_Name	Name	Ensembl	Marker	Coefficient
AC	AC_10	ENSMUSG00000046447	Camk2n1	0.23052487081236434
AC	AC_10	ENSMUSG00000040896	Kcnd3	0.22940281854745315
AC	AC_10	ENSMUSG00000053465	Hs6st3	-0.391988622270608
AC	AC_10	ENSMUSG00000049252	Lrp1b	-0.33552022801452525
AC	AC_10	ENSMUSG00000028399	Ptprd	-0.29142566895590466
AC	AC_10	ENSMUSG00000019888	Mgat4c	-0.2909099050871682
AC	AC_10	ENSMUSG00000056158	Car10	-0.28767922370049137
AC	AC_10	ENSMUSG00000045083	Lingo2	-0.27040599828355144
AC	AC_10	ENSMUSG00000037940	Inpp4b	-0.25099965899464083
AC	AC_10	ENSMUSG00000063600	Egfem1	-0.2476137080372424
AC	AC_10	ENSMUSG00000022762	Ncam2	-0.24713429857606642
AC	AC_10	ENSMUSG00000003279	Dlgap1	-0.24351851711810452
AC	AC_10	ENSMUSG00000039419	Cntnap2	-0.2404653812114546
AC	AC_10	ENSMUSG00000044349	Snhg11	-0.23900281301200782
AC	AC_10	ENSMUSG00000051401	Kctd16	-0.23263532863580005
AC	AC_10	ENSMUSG00000023868	Pde10a	-0.22958882839945857
AC	AC_10	ENSMUSG00000008658	Rbfox1	-0.22257695987365855
AC	AC_10	ENSMUSG00000028542	Slc6a9	-0.221089461303253
AC	AC_10	ENSMUSG00000027238	Frmd5	-0.22064428948799597
AC	AC_10	ENSMUSG00000026872	Zeb2	-0.2179452037477329
AC	AC_10	ENSMUSG00000019906	Lin7a	-0.21654547119480763
AC	AC_10	ENSMUSG00000028519	Dab1	-0.21367816036101658
AC	AC_11	ENSMUSG00000021647	Cartpt	0.4863766976169995
AC	AC_11	ENSMUSG00000071424	Grid2	0.2683514796913796
AC	AC_11	ENSMUSG00000052534	Pbx1	0.1899640791978402
AC	AC_11	ENSMUSG00000060882	Kcnd2	0.17605881803778273
AC	AC_11	ENSMUSG00000019888	Mgat4c	0.17544794978334693
AC	AC_11	ENSMUSG00000090223	Pcp4	0.17386815751142912
AC	AC_11	ENSMUSG00000044067	Gpr22	0.1596974916395449
AC	AC_11	ENSMUSG00000045532	C1ql1	0.15536369903239017
AC	AC_11	ENSMUSG00000050587	Lrrc4c	0.15285506190958972
AC	AC_11	ENSMUSG00000052613	Pcdh15	0.15255787722327216
AC	AC_11	ENSMUSG00000062991	Nrg1_ENSMUSG00000062991	0.1479402575246189
AC	AC_11	ENSMUSG00000060424	Pantr1	0.14524157166393648
AC	AC_11	ENSMUSG00000041741	Pde3a	0.1396927946517409
AC	AC_11	ENSMUSG00000025927	Tfap2b	0.1395063227862765
AC	AC_11	ENSMUSG00000033278	Ptprm	0.13318639390338982
AC	AC_11	ENSMUSG00000055471	Alk	0.13062126881569489
AC	AC_11	ENSMUSG00000046159	Chrm3	0.12373932637797144
AC	AC_11	ENSMUSG00000029608	Rph3a	0.12221415209223427
AC	AC_11	ENSMUSG00000036907	C1ql2	0.12086932091024255
AC	AC_11	ENSMUSG00000041261	Car8	0.1178885382374459
AC	AC_11	ENSMUSG00000021268	Meg3	-0.2005282419354239
AC	AC_11	ENSMUSG00000092341	Malat1	-0.19812040367695166
AC	AC_11	ENSMUSG00000055421	Pcdh9	-0.19025557383372602
AC	AC_11	ENSMUSG00000092094	Zfp804b	-0.18338857530333996
AC	AC_11	ENSMUSG00000039488	Cntn5	-0.14975947908717488
AC	AC_11	ENSMUSG00000066392	Nrxn3	-0.14925031175889333
AC	AC_11	ENSMUSG00000064115	Cadm2	-0.14870409735418144
AC	AC_11	ENSMUSG00000029088	Kcnip4	-0.1403795852577715
AC	AC_11	ENSMUSG00000049336	Tenm2	-0.13157185838089272
AC	AC_11	ENSMUSG00000064351	mt-Co1	-0.13083310153580283
AC	AC_11	ENSMUSG00000027210	Meis2	-0.12838954551241122
AC	AC_11	ENSMUSG00000063873	Slc24a3	-0.12776261469759673
AC	AC_11	ENSMUSG00000028399	Ptprd	-0.12652408149019437
AC	AC_11	ENSMUSG00000086503	Xist	-0.12356801160080443
AC	AC_11	ENSMUSG00000040420	Cdh18	-0.11998865767405724
AC	AC_11	ENSMUSG00000027016	Zfp385b	-0.11680199517508431
AC	AC_11	ENSMUSG00000098682	Otx2os1	-0.11657746453598468
AC	AC_11	ENSMUSG00000061080	Lsamp	-0.11542900082589398
AC	AC_11	ENSMUSG00000045083	Lingo2	-0.11478420726900199
AC	AC_11	ENSMUSG00000026163	Sphkap	-0.11451174131869458
AC	AC_12	ENSMUSG00000029108	Pcdh7	0.32079985536473415
AC	AC_12	ENSMUSG00000010803	Gabra1	0.2902063098840804
AC	AC_12	ENSMUSG00000038257	Glra3	0.2719203214570009
AC	AC_12	ENSMUSG00000039607	Rbms3	0.23624017272887998
AC	AC_12	ENSMUSG00000015090	Ptgds	0.233187246853879
AC	AC_12	ENSMUSG00000021219	Rgs6	0.2248257865776059
AC	AC_12	ENSMUSG00000063873	Slc24a3	0.21687593067397654
AC	AC_12	ENSMUSG00000007653	Gabrb2	0.21678798605313188
AC	AC_12	ENSMUSG00000033066	Gas7	0.19903717375497929
AC	AC_12	ENSMUSG00000022577	Ly6h	0.1856270726575023
AC	AC_12	ENSMUSG00000059974	Ntm	0.18088706951332695
AC	AC_12	ENSMUSG00000064293	Cntn4	0.17519619692074156
AC	AC_12	ENSMUSG00000028399	Ptprd	0.17030089398687967
AC	AC_12	ENSMUSG00000053166	Cdh22	0.1702236536837458
AC	AC_12	ENSMUSG00000045613	Chrm2	0.1680165060111014
AC	AC_12	ENSMUSG00000027270	Lamp5	0.15679389297872795
AC	AC_12	ENSMUSG00000030246	Ldhb	0.13992436139541758
AC	AC_12	ENSMUSG00000057098	Ebf1	0.1261732401433378
AC	AC_12	ENSMUSG00000036390	Gadd45a	0.1254439765859413
AC	AC_12	ENSMUSG00000031558	Slit2	0.12455942482461033
AC	AC_12	ENSMUSG00000092341	Malat1	-0.20614763801998542
AC	AC_12	ENSMUSG00000061080	Lsamp	-0.18566928321716086
AC	AC_12	ENSMUSG00000052920	Prkg1	-0.17966032316451186
AC	AC_12	ENSMUSG00000029088	Kcnip4	-0.15833203419572953
AC	AC_12	ENSMUSG00000003279	Dlgap1	-0.15634784081343545
AC	AC_12	ENSMUSG00000059742	Kcnh7	-0.14333681197077086
AC	AC_12	ENSMUSG00000062991	Nrg1_ENSMUSG00000062991	-0.140814270789476
AC	AC_12	ENSMUSG00000096914	Galntl6	-0.13904261622765188
AC	AC_12	ENSMUSG00000022762	Ncam2	-0.13419678843090194
AC	AC_12	ENSMUSG00000032036	Kirrel3	-0.13167666732977631
AC	AC_12	ENSMUSG00000021991	Cacna2d3	-0.11848634851175488
AC	AC_12	ENSMUSG00000049336	Tenm2	-0.11644554765041736
AC	AC_12	ENSMUSG00000035864	Syt1	-0.11227247615490814
AC	AC_12	ENSMUSG00000008658	Rbfox1	-0.1116831844570289
AC	AC_12	ENSMUSG00000022883	Robo1	-0.11034624397159191
AC	AC_12	ENSMUSG00000039717	Ralyl	-0.10954856258577776
AC	AC_12	ENSMUSG00000092083	Kcnb2	-0.10784435591072183
AC	AC_12	ENSMUSG00000079523	Tmsb10	-0.10596182162749232
AC	AC_12	ENSMUSG00000027562	Car2	-0.10562916016491444
AC	AC_12	ENSMUSG00000025927	Tfap2b	-0.10349353852023394
AC	AC_13	ENSMUSG00000046178	Nxph1	0.45926393606279914
AC	AC_13	ENSMUSG00000019935	Slc17a8	0.41199370278889214
AC	AC_13	ENSMUSG00000029108	Pcdh7	0.34679304643091796
AC	AC_13	ENSMUSG00000098008	A930001A20Rik	0.3150316986360364
AC	AC_13	ENSMUSG00000032625	Thsd7a	0.2707098742375031
AC	AC_13	ENSMUSG00000090223	Pcp4	0.25513720264577283
AC	AC_13	ENSMUSG00000004347	Pde1c	0.2312735680096286
AC	AC_13	ENSMUSG00000022108	Itm2b	0.2305855657994464
AC	AC_13	ENSMUSG00000043531	Sorcs1	0.22020215976267093
AC	AC_13	ENSMUSG00000059003	Grin2a	0.21877692003757357
AC	AC_13	ENSMUSG00000027559	Car3	0.20399557958033174
AC	AC_13	ENSMUSG00000046447	Camk2n1	0.20291464271866194
AC	AC_13	ENSMUSG00000052920	Prkg1	0.20144910479197844
AC	AC_13	ENSMUSG00000000560	Gabra2	0.19815375436682844
AC	AC_13	ENSMUSG00000031925	Maml2	0.19779999599224116
AC	AC_13	ENSMUSG00000058571	Gpc6	0.19715435914661023
AC	AC_13	ENSMUSG00000002107	Celf2	0.19519396752861048
AC	AC_13	ENSMUSG00000039488	Cntn5	0.18285751239070172
AC	AC_13	ENSMUSG00000041078	Grid1	0.18154348791591246
AC	AC_13	ENSMUSG00000063873	Slc24a3	0.17852117639787177
AC	AC_13	ENSMUSG00000092341	Malat1	-0.32573761820315544
AC	AC_13	ENSMUSG00000061080	Lsamp	-0.3099770126706374
AC	AC_13	ENSMUSG00000021699	Pde4d	-0.2057235442213619
AC	AC_13	ENSMUSG00000019888	Mgat4c	-0.20501824984404765
AC	AC_13	ENSMUSG00000028519	Dab1	-0.19709303889055377
AC	AC_13	ENSMUSG00000062991	Nrg1_ENSMUSG00000062991	-0.1885586285414543
AC	AC_13	ENSMUSG00000049690	Nckap5	-0.16377919337962116
AC	AC_13	ENSMUSG00000056073	Grik2	-0.16165155683606763
AC	AC_13	ENSMUSG00000035864	Syt1	-0.15420777278629078
AC	AC_13	ENSMUSG00000053465	Hs6st3	-0.1514578647969743
AC	AC_13	ENSMUSG00000025551	Fgf14	-0.14652133006580328
AC	AC_13	ENSMUSG00000064357	mt-Atp6	-0.14553482659777467
AC	AC_13	ENSMUSG00000034813	Grip1	-0.14074770735241715
AC	AC_13	ENSMUSG00000022883	Robo1	-0.13864609077593001
AC	AC_13	ENSMUSG00000048332	Lhfp	-0.13707277159593456
AC	AC_13	ENSMUSG00000022762	Ncam2	-0.13071565637828092
AC	AC_13	ENSMUSG00000028373	Astn2	-0.12597678610122134
AC	AC_13	ENSMUSG00000064358	mt-Co3	-0.12327294382693356
AC	AC_13	ENSMUSG00000057098	Ebf1	-0.12316859705705778
AC	AC_13	ENSMUSG00000035653	Lrfn5	-0.12268218740869213
AC	AC_14	ENSMUSG00000024647	Cbln2	0.5722216712875973
AC	AC_14	ENSMUSG00000022935	Grik1	0.5430668128226155
AC	AC_14	ENSMUSG00000025927	Tfap2b	0.4855399653864205
AC	AC_14	ENSMUSG00000071037	Camkmt	0.41097400665049
AC	AC_14	ENSMUSG00000027238	Frmd5	0.38673590387632134
AC	AC_14	ENSMUSG00000070565	Rasal2	0.386601787680759
AC	AC_14	ENSMUSG00000045103	Dmd	0.3774162584338361
AC	AC_14	ENSMUSG00000022240	Ctnnd2	0.36544203914919704
AC	AC_14	ENSMUSG00000027210	Meis2	0.36085571436331587
AC	AC_14	ENSMUSG00000031561	Tenm3	0.3362696787357439
AC	AC_14	ENSMUSG00000038872	Zfhx3	0.313057598802583
AC	AC_14	ENSMUSG00000037940	Inpp4b	0.30360182659617346
AC	AC_14	ENSMUSG00000022307	Oxr1	0.3009521206190703
AC	AC_14	ENSMUSG00000006586	Runx1t1	0.2998653079349199
AC	AC_14	ENSMUSG00000038805	Six3	0.2946459795571244
AC	AC_14	ENSMUSG00000049100	Pcdh10	0.2876919449366136
AC	AC_14	ENSMUSG00000045083	Lingo2	0.27759210688727554
AC	AC_14	ENSMUSG00000053141	Ptprt	0.27015160891673495
AC	AC_14	ENSMUSG00000057315	Arhgap24	0.2665252333741392
AC	AC_14	ENSMUSG00000032076	Cadm1	0.2657308453191337
AC	AC_14	ENSMUSG00000061080	Lsamp	-0.5717654757144636
AC	AC_14	ENSMUSG00000096914	Galntl6	-0.5195787282028579
AC	AC_14	ENSMUSG00000019888	Mgat4c	-0.4869453559962829
AC	AC_14	ENSMUSG00000059974	Ntm	-0.39545534980917146
AC	AC_14	ENSMUSG00000008658	Rbfox1	-0.3946649041654887
AC	AC_14	ENSMUSG00000024211	Grm8	-0.37396851701218525
AC	AC_14	ENSMUSG00000039419	Cntnap2	-0.34894718647527034
AC	AC_14	ENSMUSG00000019889	Ptprk	-0.345835822794272
AC	AC_14	ENSMUSG00000029108	Pcdh7	-0.3452270085628541
AC	AC_14	ENSMUSG00000064351	mt-Co1	-0.3286058569025313
AC	AC_14	ENSMUSG00000048078	Tenm4	-0.3266282068092093
AC	AC_14	ENSMUSG00000052551	Adarb2	-0.3198420126985905
AC	AC_14	ENSMUSG00000056755	Grm7	-0.31890545613651344
AC	AC_14	ENSMUSG00000064293	Cntn4	-0.29447955506863777
AC	AC_14	ENSMUSG00000048332	Lhfp	-0.2847171828213813
AC	AC_14	ENSMUSG00000049690	Nckap5	-0.27997723826808646
AC	AC_14	ENSMUSG00000045532	C1ql1	-0.2668159221608277
AC	AC_14	ENSMUSG00000021508	Cxcl14	-0.2652044660990053
AC	AC_14	ENSMUSG00000062991	Nrg1_ENSMUSG00000062991	-0.2591383011999962
AC	AC_14	ENSMUSG00000059742	Kcnh7	-0.25752774856398164
AC	AC_15	ENSMUSG00000096914	Galntl6	0.36855701875561586
AC	AC_15	ENSMUSG00000035131	Brinp3	0.2634127646769638
AC	AC_15	ENSMUSG00000032348	Gsta4	0.24669817232348823
AC	AC_15	ENSMUSG00000049775	Tmsb4x	0.2230515634933693
AC	AC_15	ENSMUSG00000005360	Slc1a3	0.2204370767874805
AC	AC_15	ENSMUSG00000055471	Alk	0.21330402612357718
AC	AC_15	ENSMUSG00000059203	Il1rapl2	0.21221702330686784
AC	AC_15	ENSMUSG00000029088	Kcnip4	0.2052933553041934
AC	AC_15	ENSMUSG00000071424	Grid2	0.20050576901666678
AC	AC_15	ENSMUSG00000021991	Cacna2d3	0.1935173251292393
AC	AC_15	ENSMUSG00000057098	Ebf1	0.1872505079602456
AC	AC_15	ENSMUSG00000027270	Lamp5	0.18647056132938905
AC	AC_15	ENSMUSG00000033768	Nrxn2	0.18594217267829047
AC	AC_15	ENSMUSG00000022935	Grik1	0.1858816133787278
AC	AC_15	ENSMUSG00000067786	Nnat	0.17670568118102753
AC	AC_15	ENSMUSG00000053141	Ptprt	0.16234889440211786
AC	AC_15	ENSMUSG00000063887	Nlgn1	0.1603586264919077
AC	AC_15	ENSMUSG00000053465	Hs6st3	0.1578203189583995
AC	AC_15	ENSMUSG00000020598	Nrcam	0.14984768018875516
AC	AC_15	ENSMUSG00000070695	Cntnap5a	0.1349536403680023
AC	AC_15	ENSMUSG00000049336	Tenm2	-0.2809055640279874
AC	AC_15	ENSMUSG00000092341	Malat1	-0.27175617865855883
AC	AC_15	ENSMUSG00000059974	Ntm	-0.22378330912910313
AC	AC_15	ENSMUSG00000090223	Pcp4	-0.20854923809433484
AC	AC_15	ENSMUSG00000008658	Rbfox1	-0.20618988997377075
AC	AC_15	ENSMUSG00000049690	Nckap5	-0.20424056733678403
AC	AC_15	ENSMUSG00000060534	Dcc	-0.1768096987217605
AC	AC_15	ENSMUSG00000064293	Cntn4	-0.15850293257431528
AC	AC_15	ENSMUSG00000027238	Frmd5	-0.15748444001650136
AC	AC_15	ENSMUSG00000029108	Pcdh7	-0.15474393347988594
AC	AC_15	ENSMUSG00000056073	Grik2	-0.15184597703564676
AC	AC_15	ENSMUSG00000034813	Grip1	-0.1514806216071232
AC	AC_15	ENSMUSG00000066392	Nrxn3	-0.1485505644565153
AC	AC_15	ENSMUSG00000003279	Dlgap1	-0.13789645166487519
AC	AC_15	ENSMUSG00000052889	Prkcb	-0.13500724902755518
AC	AC_15	ENSMUSG00000055026	Gabrg3	-0.13272937723616007
AC	AC_15	ENSMUSG00000035864	Syt1	-0.13128973152865828
AC	AC_15	ENSMUSG00000063626	Unc5d	-0.13024442883712128
AC	AC_15	ENSMUSG00000049252	Lrp1b	-0.130204689142162
AC	AC_15	ENSMUSG00000050272	Dscam	-0.12607140226472902
AC	AC_16	ENSMUSG00000025927	Tfap2b	0.20833313463247102
AC	AC_16	ENSMUSG00000028519	Dab1	0.1969403793625145
AC	AC_16	ENSMUSG00000092094	Zfp804b	0.15705590363626795
AC	AC_16	ENSMUSG00000052551	Adarb2	0.15104609652930692
AC	AC_16	ENSMUSG00000062991	Nrg1_ENSMUSG00000062991	0.15032278414901984
AC	AC_16	ENSMUSG00000055421	Pcdh9	0.1486696674349152
AC	AC_16	ENSMUSG00000033676	Gabrb3	0.14857159654108487
AC	AC_16	ENSMUSG00000031561	Tenm3	0.14277346371673147
AC	AC_16	ENSMUSG00000061576	Dpp6	0.13961783838288405
AC	AC_16	ENSMUSG00000052837	Junb	0.13703412961556985
AC	AC_16	ENSMUSG00000042390	Gatad2b	0.13496654709186318
AC	AC_16	ENSMUSG00000096914	Galntl6	0.12793501314883565
AC	AC_16	ENSMUSG00000056158	Car10	0.1250969769504131
AC	AC_16	ENSMUSG00000037940	Inpp4b	0.1243805995805296
AC	AC_16	ENSMUSG00000008763	Man1a2	0.12199931867461272
AC	AC_16	ENSMUSG00000022332	Khdrbs3	0.12104262260884201
AC	AC_16	ENSMUSG00000047495	Dlgap2	0.1205571911899106
AC	AC_16	ENSMUSG00000038805	Six3	0.12014190732563332
AC	AC_16	ENSMUSG00000056755	Grm7	0.11978396504928207
AC	AC_16	ENSMUSG00000039539	Sgcz	0.11852535411745758
AC	AC_16	ENSMUSG00000092341	Malat1	-0.5886588920486201
AC	AC_16	ENSMUSG00000064357	mt-Atp6	-0.3192262448428297
AC	AC_16	ENSMUSG00000024109	Nrxn1	-0.21972624942642713
AC	AC_16	ENSMUSG00000064341	mt-Nd1	-0.20856507497575405
AC	AC_16	ENSMUSG00000064370	mt-Cytb	-0.20641708077667623
AC	AC_16	ENSMUSG00000064115	Cadm2	-0.20407608690561782
AC	AC_16	ENSMUSG00000064354	mt-Co2	-0.2037959288961025
AC	AC_16	ENSMUSG00000064358	mt-Co3	-0.20189405650628342
AC	AC_16	ENSMUSG00000056073	Grik2	-0.19687255022081493
AC	AC_16	ENSMUSG00000066392	Nrxn3	-0.18395295690546065
AC	AC_16	ENSMUSG00000047454	Gphn	-0.1834268690297687
AC	AC_16	ENSMUSG00000035864	Syt1	-0.1829109824391908
AC	AC_16	ENSMUSG00000061080	Lsamp	-0.17587128863204357
AC	AC_16	ENSMUSG00000028524	Sgip1	-0.16391747338472848
AC	AC_16	ENSMUSG00000086503	Xist	-0.16213774508797127
AC	AC_16	ENSMUSG00000052572	Dlg2	-0.1619505497819237
AC	AC_16	ENSMUSG00000021699	Pde4d	-0.15635770188753942
AC	AC_16	ENSMUSG00000064351	mt-Co1	-0.15124439476405538
AC	AC_16	ENSMUSG00000022748	Cmss1	-0.14914533615882733
AC	AC_16	ENSMUSG00000027273	Snap25	-0.14682322096263906
AC	AC_17	ENSMUSG00000003657	Calb2	0.26321761137622407
AC	AC_17	ENSMUSG00000090223	Pcp4	0.20875335098973824
AC	AC_17	ENSMUSG00000041670	Rims1	0.20871839957659533
AC	AC_17	ENSMUSG00000036617	Etl4	0.1869691093218968
AC	AC_17	ENSMUSG00000058897	Col25a1	0.1853359631840057
AC	AC_17	ENSMUSG00000105265	Sox2ot	0.16528400164462623
AC	AC_17	ENSMUSG00000036256	Igfbp7	0.16145747410401393
AC	AC_17	ENSMUSG00000008658	Rbfox1	0.1533264287820324
AC	AC_17	ENSMUSG00000029819	Npy	0.1504752356705809
AC	AC_17	ENSMUSG00000036466	Megf11	0.14161368720465453
AC	AC_17	ENSMUSG00000042258	Isl1	0.13804914727659326
AC	AC_17	ENSMUSG00000050711	Scg2	0.13189285653756638
AC	AC_17	ENSMUSG00000021301	Hecw1	0.1293999856717378
AC	AC_17	ENSMUSG00000037492	Zmat4	0.1276526468698675
AC	AC_17	ENSMUSG00000038370	Pcp4l1	0.11775318187368748
AC	AC_17	ENSMUSG00000021219	Rgs6	0.11588162763125008
AC	AC_17	ENSMUSG00000044499	Hs3st5	0.10927335528852852
AC	AC_17	ENSMUSG00000029054	Gabrd	0.10439229376659805
AC	AC_17	ENSMUSG00000092083	Kcnb2	0.10347570040267665
AC	AC_17	ENSMUSG00000040420	Cdh18	0.10184326284468809
AC	AC_17	ENSMUSG00000092341	Malat1	-0.17951082735291257
AC	AC_17	ENSMUSG00000020704	Asic2	-0.14177126599893944
AC	AC_17	ENSMUSG00000029088	Kcnip4	-0.1383943237447982
AC	AC_17	ENSMUSG00000039714	Cplx3	-0.13096983008383317
AC	AC_17	ENSMUSG00000027238	Frmd5	-0.12396269118648727
AC	AC_17	ENSMUSG00000045083	Lingo2	-0.12272932833670916
AC	AC_17	ENSMUSG00000025551	Fgf14	-0.10065374547810961
AC	AC_17	ENSMUSG00000039717	Ralyl	-0.09843620856872423
AC	AC_17	ENSMUSG00000022883	Robo1	-0.09561117833471527
AC	AC_17	ENSMUSG00000052920	Prkg1	-0.09311528890585553
AC	AC_17	ENSMUSG00000045532	C1ql1	-0.09276034127855665
