Name	Marker	Curated	Queried
RGC	Gapdh		Queried
M1A	Gldn		Queried
NOVEL_11	Gm17750	Curated	
DV-OODSGC	Gm32647		Queried
M1A	Gm32647		Queried
M2	Gm32647		Queried
NOVEL_20	Gm32647		Queried
NOVEL_24	Gm32647		Queried
NOVEL_29	Gm32647		Queried
NOVEL_30	Gm32647		Queried
TBR1-NOVEL	Gm32647		Queried
NOVEL_18	Gnas		Queried
NOVEL_8	Gnas		Queried
RGC	Gngt1		Queried
M1B	Gpc5		Queried
M3, M5, OR M6	Gpc5		Queried
NOVEL_37	Gpc5		Queried
F-MINI-OFF	Gpc6		Queried
W3D1	Gpc6		Queried
W3D1	Gpi1		Queried
MAYBE T-OODSGC	Gpr88	Curated	
F-MINI-OFF	Gria1		Queried
F-MINI-ON	Grid2		Queried
NOVEL_25	Grid2		Queried
NOVEL_29	Grid2		Queried
NOVEL_7	Grid2		Queried
NOVEL_18	Grin2a		Queried
NOVEL_7	Grin2a		Queried
W3B	Grin2a		Queried
W3D1	Grin2a		Queried
NOVEL_26	Grm5		Queried
NOVEL_44	Grm5		Queried
NOVEL_34	Grm8		Queried
OODS_CCK_14	Grm8		Queried
F-MIDI-ON	Hcn1		Queried
NOVEL_10	Hcn1		Queried
NOVEL_20	Hcn1		Queried
NOVEL_30	Hdac9		Queried
RGC	Hmgn1		Queried
NOVEL_15	Hpcal1		Queried
W3B	Hpcal1		Queried
W3D2	Hpcal1		Queried
DV-OODSGC	Hs3st4		Queried
M3, M5, OR M6	Hs3st4		Queried
TBR1-S1	Hs3st4		Queried
NOVEL_11	Hs6st3		Queried
NOVEL_19	Hs6st3		Queried
NOVEL_27	Hs6st3		Queried
NOVEL_35	Hs6st3		Queried
M1A	Igf1		Queried
M3, M5, OR M6	Igf1		Queried
NOVEL_10	Igf1		Queried
NOVEL_27	Igf1		Queried
NOVEL_26	Igfbp	Curated	
NOVEL_35	Igfbp4	Curated	
NOVEL_18	Il1rapl1		Queried
RGC	Il1rapl1		Queried
ALPHAON-S	Il1rapl2	Curated	Queried
M4	Il1rapl2	Curated	
NOVEL_37	Il1rapl2		Queried
NOVEL_19	Inpp4b		Queried
NOVEL_20	Inpp4b		Queried
NOVEL_25	Inpp4b		Queried
NOVEL_26	Inpp4b		Queried
NOVEL_34	Inpp4b		Queried
NOVEL_35	Inpp4b		Queried
TBR1-S1	Inpp4b		Queried
F-MINI-ON	Irx4	Curated	
TBR1-S1	Irx4	Curated	
J-RGC	Jam2	Curated	
T-RGC	Jam2	Curated	
ALPHAON-T	Kcnb2		Queried
F-MIDI-OFF	Kcnb2		Queried
F-MIDI-ON	Kcnb2		Queried
M1B	Kcnb2		Queried
W3D1	Kcnc2		Queried
F-MINI-ON	Kcnd2		Queried
J-RGC	Kcnd2		Queried
NOVEL_30	Kcnd2		Queried
NOVEL_34	Kcnd2		Queried
RGC	Kcnd2		Queried
W3B	Kcnd2		Queried
W3D2	Kcnd2		Queried
ALPHAOFF-T	Kcng2		Queried
NOVEL_19	Kcnh7		Queried
NT-OODSGC	Kcnh7		Queried
W3B	Kcnh7		Queried
NOVEL_27	Kcnip1		Queried
NOVEL_34	Kcnip1		Queried
NOVEL_39	Kcnip1		Queried
NOVEL_8	Kcnip1		Queried
F-MINI-ON	Kcnq5		Queried
M1B	Kcnq5		Queried
NOVEL_26	Kcnq5		Queried
RGC	Kctd16		Queried
NOVEL_11	Khdrbs2		Queried
M3, M5, OR M6	Kirrel3		Queried
NOVEL_15	Kirrel3		Queried
NOVEL_25	Kirrel3		Queried
NOVEL_27	Kirrel3		Queried
NOVEL_35	Kirrel3		Queried
NOVEL_8	Kirrel3		Queried
OODS_CCK_14	Kirrel3		Queried
TBR1-S1	Kirrel3		Queried
ALPHAON-T	Kit	Curated	
NOVEL_7	Kitl		Queried
NOVEL_24	Klhl1		Queried
M1A	Lbhd2	Curated	
M2	Lbhd2	Curated	
ALPHAOFF-T	Ldhb		Queried
NOVEL_34	Ldhb		Queried
NOVEL_36	Ldhb		Queried
NOVEL_37	Ldhb		Queried
TBR1-NOVEL	Lhfpl3		Queried
J-RGC	Lingo2		Queried
M2	Lrp1b		Queried
M3, M5, OR M6	Lrp1b		Queried
NOVEL_30	Lrp1b		Queried
ALPHAOFF-S	Lrrc4c		Queried
F-MINI-OFF	Lrrc4c		Queried
J-RGC	Lrrc4c		Queried
M2	Lrrc4c		Queried
NOVEL_19	Lrrc4c		Queried
NOVEL_7	Lrrc4c		Queried
TBR1-S1	Lrrc4c		Queried
TBR1-S2	Lrrc4c		Queried
W3B	Lrrc4c		Queried
W3D2	Lrrc4c		Queried
F-NOVEL	Lrrtm4		Queried
NOVEL_18	Lrrtm4		Queried
NOVEL_25	Lrrtm4		Queried
NOVEL_26	Lrrtm4		Queried
NOVEL_29	Lrrtm4		Queried
NOVEL_34	Lrrtm4		Queried
NOVEL_35	Lrrtm4		Queried
NOVEL_39	Lrrtm4		Queried
NOVEL_8	Lrrtm4		Queried
RGC	Lrrtm4		Queried
F-MIDI-ON	Lxn		Queried
M1A	Lxn		Queried
NOVEL_44	Ly6h		Queried
W3D1	Lypd1	Curated	
W3L2	Lypd1	Curated	
ALPHAOFF-T	Mafb		Queried
NOVEL_34	Mafb		Queried
W3D2	Mafb		Queried
F-MINI-OFF	Magi1		Queried
W3D1	Magi1		Queried
ALPHAON-S	Map1a		Queried
ALPHAOFF-T	Map7d2		Queried
NOVEL_7	Marchf1		Queried
F-MIDI-OFF	Marcks		Queried
F-MIDI-ON	Marcks		Queried
NOVEL_20	Marcks		Queried
NOVEL_8	Mast4		Queried
TBR1-S2	Mast4		Queried
ALPHAOFF-S	Mdga2		Queried
ALPHAOFF-S	Meis2		Queried
F-MIDI-ON	Meis2		Queried
F-NOVEL	Meis2		Queried
M1A	Meis2		Queried
NOVEL_15	Meis2		Queried
NOVEL_20	Meis2		Queried
NOVEL_25	Meis2		Queried
NOVEL_26	Meis2		Queried
NOVEL_29	Meis2		Queried
NOVEL_34	Meis2		Queried
TBR1-S1	Meis2		Queried
NOVEL_18	Mgarp		Queried
ALPHAON-T	Mgat4c		Queried
F-MINI-ON	Mgat4c		Queried
M3, M5, OR M6	Mgat4c		Queried
NOVEL_10	Mgat4c		Queried
NOVEL_7	Mgat4c		Queried
OODS_CCK_14	Mgat4c		Queried
RGC	Mgst3		Queried
NOVEL_15	Mid1		Queried
TBR1-NOVEL	Mid1		Queried
N-OODSGC	Mmp17	Curated	
NOVEL_10	Mmp9		Queried
OODS_CCK_14	Nalf1		Queried
NT-OODSGC	Ncam2		Queried
OODS_CCK_14	Ncam2		Queried
W3D1	Ncam2		Queried
M2	Ndnf		Queried
NOVEL_7	Necab2		Queried
NOVEL_8	Necab2		Queried
TBR1-S2	Necab2		Queried
ALPHAOFF-S	Nefh		Queried
ALPHAOFF-T	Nefh		Queried
ALPHAON-S	Nefh		Queried
NOVEL_39	Nefh		Queried
ALPHAOFF-T	Nefm		Queried
NOVEL_39	Nefm		Queried
RGC	Nefm		Queried
NOVEL_13	Negr1		Queried
NOVEL_19	Negr1		Queried
NOVEL_35	Negr1		Queried
NT-OODSGC	Negr1		Queried
W3D1	Negr1		Queried
M2	Nell1		Queried
NOVEL_19	Nell1		Queried
NOVEL_25	Nell1		Queried
NOVEL_26	Nell1		Queried
NT-OODSGC	Nell1		Queried
F-MINI-ON	Nell2		Queried
N-RGC	Neurod2	Curated	
NOVEL_39	Neurod2	Curated	
ALPHAON-T	Nkain2		Queried
NOVEL_35	Nkain2		Queried
NOVEL_10	Nlgn1		Queried
NOVEL_29	Nlgn1		Queried
TBR1-S2	Nlgn1		Queried
M1B	Nmb	Curated	
W3B	Nrcam		Queried
ALPHAON-S	Nrg1_ensmusg00000062991		Queried
M1A	Nrg1_ensmusg00000062991		Queried
NOVEL_13	Nrg1_ensmusg00000062991		Queried
NOVEL_35	Nrg1_ensmusg00000062991		Queried
NOVEL_36	Nrg1_ensmusg00000062991		Queried
OODS_CCK_14	Nrg1_ensmusg00000062991		Queried
TBR1-S1	Nrg1_ensmusg00000062991		Queried
F-MINI-ON	Nrgn		Queried
NOVEL_15	Nrgn		Queried
NOVEL_27	Nrgn		Queried
TBR1-S1	Nrgn		Queried
W3D1	Nrgn		Queried
RGC	Nrn1		Queried
DV-OODSGC	Nrsn1		Queried
J-RGC	Nrxn3		Queried
NOVEL_25	Nrxn3		Queried
OODS_CCK_14	Nrxn3		Queried
RGC	Nrxn3		Queried
M3, M5, OR M6	Ntm		Queried
NOVEL_36	Ntm		Queried
ALPHAOFF-S	Ntng1		Queried
ALPHAOFF-T	Ntng1		Queried
F-NOVEL	Ntng1		Queried
NOVEL_10	Ntng1		Queried
NOVEL_11	Ntng1		Queried
NOVEL_25	Ntng1		Queried
NOVEL_34	Ntng1		Queried
NOVEL_37	Ntng1		Queried
NOVEL_44	Ntng1		Queried
TBR1-S1	Ntng1		Queried
TBR1-S2	Ntng1		Queried
W3L2	Ntrk1	Curated	
ALPHAOFF-S	Ogfrl1		Queried
ALPHAOFF-T	Ogfrl1		Queried
NOVEL_15	Ogfrl1		Queried
NOVEL_26	Ogfrl1		Queried
NOVEL_34	Ogfrl1		Queried
W3D2	Ogfrl1		Queried
NT-OODSGC	Olfm1		Queried
DV-OODSGC	Opcml		Queried
M1A	Opcml		Queried
NOVEL_35	Opcml		Queried
ALPHA-RGC	Opn4	Curated	
ALPHAON-S	Opn4	Curated	
GANGLIONOTHER78	Opn4	Curated	
IPRGC	Opn4	Curated	
M1A	Opn4	Curated	Queried
M1B	Opn4		Queried
M2	Opn4		Queried
TBR1-NOVEL	Osbpl1a		Queried
NOVEL_24	Pcdh10		Queried
TBR1-NOVEL	Pcdh10		Queried
W3D1	Pcdh10		Queried
DV-OODSGC	Pcdh11x		Queried
NOVEL_15	Pcdh11x		Queried
NOVEL_26	Pcdh11x		Queried
NOVEL_36	Pcdh11x		Queried
M3, M5, OR M6	Pcdh15		Queried
NOVEL_26	Pcdh15		Queried
ALPHAON-T	Pcdh17		Queried
NOVEL_39	Pcdh17		Queried
NOVEL_44	Pcdh17		Queried
W3B	Pcdh17		Queried
J-RGC	Pcdh20	Curated	
NOVEL_18	Pcdh20	Curated	
F-MINI-ON	Pcdh7		Queried
NOVEL_13	Pcdh7		Queried
NOVEL_30	Pcdh7		Queried
NOVEL_34	Pcdh7		Queried
NOVEL_37	Pcdh7		Queried
W3B	Pcdh7		Queried
W3D2	Pcdh7		Queried
ALPHAOFF-S	Pcdh9		Queried
ALPHAON-S	Pcdh9		Queried
ALPHAON-T	Pcdh9		Queried
F-MIDI-OFF	Pcdh9		Queried
J-RGC	Pcdh9		Queried
M1B	Pcdh9		Queried
M2	Pcdh9		Queried
M3, M5, OR M6	Pcdh9		Queried
NOVEL_10	Pcdh9		Queried
NOVEL_18	Pcdh9		Queried
NOVEL_19	Pcdh9		Queried
NOVEL_20	Pcdh9		Queried
NOVEL_24	Pcdh9		Queried
NOVEL_25	Pcdh9		Queried
NOVEL_34	Pcdh9		Queried
NOVEL_44	Pcdh9		Queried
NOVEL_7	Pcdh9		Queried
NOVEL_8	Pcdh9		Queried
NT-OODSGC	Pcdh9		Queried
DV-OODSGC	Pcp4		Queried
F-MIDI-ON	Pcp4		Queried
F-MINI-OFF	Pcp4		Queried
M2	Pcp4		Queried
M3, M5, OR M6	Pcp4		Queried
NOVEL_29	Pcp4		Queried
NT-OODSGC	Pcp4		Queried
TBR1-S1	Pcp4		Queried
TBR1-S2	Pcp4		Queried
W3B	Pcp4		Queried
W3D1	Pcp4		Queried
ALPHAOFF-S	Pcsk2		Queried
J-RGC	Pcsk2		Queried
M3, M5, OR M6	Pcsk2		Queried
NOVEL_8	Pcsk2		Queried
NOVEL_30	Pde10a		Queried
F-MINI-OFF	Pde1a	Curated	
NOVEL_36	Pde1c		Queried
NT-OODSGC	Pde1c		Queried
M1B	Pde4b		Queried
NOVEL_15	Penk		Queried
NOVEL_19	Penk	Curated	Queried
NOVEL_20	Penk	Curated	Queried
NOVEL_26	Penk	Curated	Queried
W3B	Penk		Queried
NOVEL_11	Pex5l		Queried
NOVEL_39	Pex5l		Queried
W3D1	Pex5l		Queried
J-RGC	Plcb1		Queried
NT-OODSGC	Plcb1		Queried
NOVEL_26	Plcb4		Queried
TBR1-NOVEL	Plpp4	Curated	
W3D3	Postn	Curated	
ALPHA-RGC	Pou4f1	Curated	
F-RGC	Pou4f1	Curated	
RGC	Pou4f1	Curated	
F-RGC	Pou4f2	Curated	
RGC	Pou4f2	Curated	
T-RGC	Pou4f2	Curated	
ALPHA-RGC	Pou4f3	Curated	
ALPHAOFF-T	Pou4f3	Curated	
F-RGC	Pou4f3	Curated	
RGC	Pou4f3	Curated	
T-RGC	Pou4f3	Curated	
NOVEL_10	Pou6f2		Queried
NOVEL_18	Pou6f2		Queried
NOVEL_44	Pou6f2		Queried
OODS_CCK_14	Pou6f2		Queried
W3D1	Pou6f2		Queried
NOVEL_20	Ppp3ca		Queried
F-NOVEL	Prdm8	Curated	
NOVEL_19	Prdm8	Curated	
NOVEL_27	Prkcg	Curated	
NOVEL_8	Prkcq	Curated	
NOVEL_29	Prlr	Curated	
W3D2	Prokr1	Curated	
ALPHAON-S	Prph		Queried
NOVEL_7	Prph		Queried
F-MINI-ON	Ptchd4		Queried
NOVEL_25	Ptn		Queried
W3B	Ptn		Queried
W3D2	Ptn		Queried
NOVEL_19	Ptprd		Queried
W3D1	Ptprd		Queried
W3D1	Ptprm		Queried
ALPHAOFF-S	Pvalb		Queried
ALPHAOFF-T	Pvalb		Queried
ALPHAON-S	Pvalb		Queried
ALPHAON-T	Pvalb		Queried
F-MIDI-OFF	Pvalb		Queried
F-MIDI-ON	Pvalb		Queried
NOVEL_11	Pvalb		Queried
NOVEL_24	Pvalb		Queried
NOVEL_27	Pvalb		Queried
TBR1-S2	Pvalb		Queried
W3D2	Pvalb		Queried
W3D2	Rab3c		Queried
ALPHAOFF-S	Ralyl		Queried
DV-OODSGC	Ralyl		Queried
NOVEL_25	Ralyl		Queried
NOVEL_29	Ralyl		Queried
TBR1-NOVEL	Ralyl		Queried
RGC	Rbfox1		Queried
M1A	Rbms3		Queried
RGC	Rbms3		Queried
RGC	Rbpms	Curated	Queried
W3D1	Rbpms2		Queried
M1B	Resp18		Queried
NOVEL_44	Resp18		Queried
ALPHAON-S	Rgs4		Queried
DV-OODSGC	Rgs4		Queried
M2	Rgs4		Queried
NOVEL_7	Rgs4		Queried
TBR1-S1	Rgs4		Queried
TBR1-S2	Rgs4		Queried
ALPHAON-T	Rgs6		Queried
NOVEL_18	Rgs6		Queried
NOVEL_25	Rgs6		Queried
NOVEL_37	Rgs6		Queried
NOVEL_44	Rgs6		Queried
NT-OODSGC	Rgs6		Queried
NOVEL_27	Rgs7bp		Queried
NOVEL_35	Rgs7bp		Queried
F-NOVEL	Rhox5	Curated	
F-MIDI-OFF	Robo1		Queried
NOVEL_10	Robo1		Queried
F-MIDI-OFF	Rprm		Queried
F-MINI-OFF	Rprm		Queried
M1A	Rprm		Queried
M1B	Rprm		Queried
TBR1-NOVEL	Rprm		Queried
TBR1-S1	Rprm		Queried
RGC	Rps23		Queried
W3B	Runx1t1		Queried
NOVEL_39	S100b	Curated	
N-RGC	Satb2	Curated	
DV-OODSGC	Scg2		Queried
F-MIDI-OFF	Scg2		Queried
F-MIDI-ON	Scg2		Queried
M2	Scg2		Queried
TBR1-NOVEL	Scg2		Queried
NOVEL_15	Schip1		Queried
NOVEL_19	Schip1		Queried
NOVEL_35	Schip1		Queried
ALPHAOFF-T	Scn1b		Queried
NOVEL_39	Scn1b		Queried
M1A	Sdk1		Queried
M2	Sdk1		Queried
NOVEL_10	Sdk1		Queried
NOVEL_11	Sdk1		Queried
NOVEL_13	Sdk1		Queried
NOVEL_27	Sdk1		Queried
NOVEL_44	Sdk1		Queried
W3D1	Sdk1		Queried
W3B	Sdk2	Curated	
ALPHAON-T	Sema3a		Queried
OODS_CCK_14	Sema3a		Queried
NOVEL_11	Serpinb1b	Curated	
M3, M5, OR M6	Serpine2	Curated	
W3L1	Serpine2	Curated	
NOVEL_26	Serpini1		Queried
NOVEL_30	Serpini1		Queried
NOVEL_36	Serpini1		Queried
M3, M5, OR M6	Sgcd		Queried
NOVEL_24	Sgcd		Queried
NOVEL_27	Sgcd		Queried
W3B	Sgcd		Queried
ALPHAON-S	Sgcz		Queried
ALPHAON-T	Sgcz		Queried
F-NOVEL	Sgcz		Queried
NOVEL_11	Sgcz		Queried
NOVEL_24	Sgcz		Queried
NOVEL_26	Sgcz		Queried
TBR1-S2	Sgcz		Queried
W3B	Sgcz		Queried
M1B	Six3		Queried
NOVEL_25	Slc17a1	Curated	
RGC	Slc17a6	Curated	
ALPHAON-S	Slc24a2		Queried
NOVEL_19	Slc24a2	Curated	
NOVEL_13	Slc35f1		Queried
TBR1-S2	Slc35f1		Queried
W3B	Slc35f1		Queried
TBR1-NOVEL	Slc7a11	Curated	
RGC	Slc7a6	Curated	
NOVEL_36	Slc8a1		Queried
F-NOVEL	Snca		Queried
F-MIDI-OFF	Sorcs1		Queried
F-MIDI-ON	Sorcs1		Queried
NOVEL_19	Sorcs1		Queried
NOVEL_26	Sorcs1		Queried
NOVEL_27	Sorcs1		Queried
NOVEL_34	Sorcs1		Queried
NOVEL_39	Sorcs1		Queried
OODS_CCK_14	Sorcs1		Queried
NOVEL_26	Sorcs3		Queried
TBR1-NOVEL	Sorcs3		Queried
F-MIDI-OFF	Sphkap		Queried
NOVEL_29	Sphkap		Queried
W3D2	Sphkap		Queried
F-MINI-ON	Spon1		Queried
F-NOVEL	Spon1		Queried
