Cell Type,Gene,Coefficient
13_Novel,Pcp4,-1.276153973194713
13_Novel,Asic2,-1.0581878343003241
13_Novel,Sorcs1,-0.7296861559638519
13_Novel,mt-Nd1,-0.5979901153286153
13_Novel,Tshz2,-0.5618465315828433
13_Novel,Rbfox1,-0.5604927322238352
13_Novel,Tafa2,-0.4941180670675246
13_Novel,Zfp804b,-0.45814275844333896
13_Novel,Ntng1,-0.4419215369097781
13_Novel,Adcy2,-0.4245848623411091
13_Novel,Synpr,-0.4145700083754587
13_Novel,Pde3a,-0.39504920964368095
13_Novel,Clstn2,-0.3747253262931187
13_Novel,Chrm3,-0.37116558356992846
13_Novel,Lrp1b,-0.3643482841212602
13_Novel,Pvalb,-0.35137772296232317
13_Novel,Inpp4b,-0.3439871309133854
13_Novel,Pex5l,-0.3405475660870251
13_Novel,Cntn4,-0.3325809637499729
13_Novel,Gabra1,-0.332345548783137
14_ooDS_Cck,Cartpt,0.9217065105671954
14_ooDS_Cck,Mgat4c,0.6913443125439214
14_ooDS_Cck,Cck,0.5156848952055277
14_ooDS_Cck,Kirrel3,0.4852936569980718
14_ooDS_Cck,Sorcs1,0.47916400903278616
14_ooDS_Cck,Nrg1_ENSMUSG00000062991,0.46703573272892746
14_ooDS_Cck,Sema3a,0.4401904982740255
14_ooDS_Cck,Sncg,0.42928540618028727
14_ooDS_Cck,Cdh18,0.39274920659729246
14_ooDS_Cck,Pou6f2,0.34869142831842714
14_ooDS_Cck,Cntnap4,0.3470738003034788
14_ooDS_Cck,Vsnl1,0.31333566421054115
14_ooDS_Cck,Cdh12,0.29942886671862645
14_ooDS_Cck,Lingo2,0.2962701725288144
14_ooDS_Cck,Gabrg3,0.2928723816055881
14_ooDS_Cck,Astn2,0.28995381495330896
14_ooDS_Cck,Crim1,0.2842254569064863
14_ooDS_Cck,Asic2,0.2694129756358101
14_ooDS_Cck,Pcdh11x,0.2604974423920144
14_ooDS_Cck,Csmd1,0.25532887071101745
14_ooDS_Cck,Kcnip4,-0.6348275575965263
14_ooDS_Cck,Lrrc4c,-0.5851493613828803
14_ooDS_Cck,Scg2,-0.5728091773840427
14_ooDS_Cck,mt-Nd1,-0.46812201801886577
14_ooDS_Cck,Pcdh7,-0.43936159358940363
14_ooDS_Cck,Rbfox1,-0.36212831158580505
14_ooDS_Cck,Gpc6,-0.34817551069001706
14_ooDS_Cck,Tmsb4x,-0.3396541687852077
14_ooDS_Cck,Kcnh7,-0.3281532335298155
14_ooDS_Cck,Ptn,-0.29519859697580936
14_ooDS_Cck,Ftl1,-0.2887180050549477
14_ooDS_Cck,Pcdh10,-0.28648185971943485
14_ooDS_Cck,Unc13c,-0.28037697726307065
14_ooDS_Cck,Nell1,-0.275568920726895
14_ooDS_Cck,Actb,-0.2682198703171201
14_ooDS_Cck,Anks1b,-0.26081666215031096
14_ooDS_Cck,Schip1,-0.2553608137635868
14_ooDS_Cck,Kcnip1,-0.24990050978771228
14_ooDS_Cck,Fgf13,-0.24877642612250972
14_ooDS_Cck,Alcam,-0.24252880724977927
15_Novel,Crhbp,0.8540505642504328
15_Novel,Meis2,0.7261113330288125
15_Novel,Pcdh11x,0.7015609367629234
15_Novel,Nrgn,0.6991910079296483
15_Novel,Kirrel3,0.6806234965471791
15_Novel,Cntnap5a,0.61587835192953
15_Novel,Galntl6,0.5716814672170722
15_Novel,Mid1,0.5434981247093056
15_Novel,Penk,0.5009302883517188
15_Novel,Tshz2,0.49834806151389877
15_Novel,Apela,0.4842547344896464
15_Novel,Cartpt,0.47601710502721034
15_Novel,Tenm3,0.4220780071017474
15_Novel,Dpp10,0.41762690165394356
15_Novel,Asic2,0.4171800068784585
15_Novel,Ebf1,0.4125463701895565
15_Novel,Tppp3,0.39159780837837116
15_Novel,Schip1,0.37623111764670236
15_Novel,Grin2a,0.3595674677543802
15_Novel,Cpne4,0.3379098722430756
15_Novel,Pcp4,-0.9187567994628468
15_Novel,Csmd3,-0.7109331711781777
15_Novel,Mgat4c,-0.6305741017211062
15_Novel,Cntn4,-0.6290725607604098
15_Novel,Cntn5,-0.5083933222559106
15_Novel,Pcdh9,-0.5034492319537412
15_Novel,Lingo2,-0.46295633113871154
15_Novel,Nlgn1,-0.4531137486616644
15_Novel,mt-Nd1,-0.43968499868262023
15_Novel,Gm32647,-0.4283842915274719
15_Novel,Bc1,-0.4177478824532635
15_Novel,Nell1,-0.40770452033966165
