,Cell Type,Gene,Coefficient
67,RGC,Gngt1,0.6870830089821438
84,RGC,Kcnd2,0.5376947569147971
80,RGC,Il1rapl1,0.4781931472483109
110,RGC,Nrn1,0.479246348298218
85,RGC,Kctd16,0.6263580279880877
108,RGC,Nefm,0.4798636114225074
139,RGC,Rbpms,0.999984022126286
74,RGC,Hmgn1,0.5262449300439853
136,RGC,Rbms3,0.7614603749891341
133,RGC,Rbfox1,0.5210826768146625
31,RPE,Col8a1,0.1035922138186991
168,RPE,Timp3,0.1044844669052939
37,RPE,Ctsd,0.1029142337358774
179,RPE,Vtn,0.1005795374224581
99,RPE,Mt3,0.0987818233030022
137,RPE,Rbp1,0.2179618781849978
141,RPE,Rgr,0.2360685208772956
156,RPE,Slc16a8,0.1581490054830753
155,RPE,Slc16a1,0.1653081325936186
147,RPE,Rpe65,0.3569518365394733
140,RPE,Rdh5,0.1954253183393149
172,RPE,Trf,0.2536551176121612
21,Rod,Calb2,0.3247491183282402
23,Rod,Cartpt,0.3667677299092735
117,Rod,Pcp4,0.4301940577065288
44,Rod,Dmd,0.2701235643975956
52,Rod,Epb41,0.2724850424386584
146,Rod,Rp1,0.2725084134980423
144,Rod,Rho,0.5386637185116973
92,Rod,Marchf1,0.4208515514840056
107,Rod,Nefl,0.3689245062291743
109,Rod,Nefm,0.2910390772403983
120,Rod,Pde6g,0.2605674135814678
29,Rod,Cmss1,0.5440447069408286
151,Rod,Sag,0.3489407217310809
