Cell Type,Gene,Coefficient
Endothelial,Flt1,0.27181459785248424
Endothelial,Ly6c1,0.21631193586958014
Endothelial,Itm2a,0.1892570865635515
Endothelial,Pltp,0.17675380708935612
Endothelial,Adgrl4,0.17250016101710325
Endothelial,Ly6a,0.165822988201259
Endothelial,Plcb1,0.15618153015960187
Endothelial,Ptprb,0.1523495104461062
Endothelial,Ptprm,0.1499148757788284
Endothelial,Klf2,0.14692653007147397
Endothelial,Mecom,0.1451946162766271
Endothelial,Slco1a4,0.14439946152057684
Endothelial,Ctla2a,0.1403429511497177
Endothelial,Igfbp7,0.13925071904255829
Endothelial,Arl15,0.13856289077623088
Endothelial,Bsg,0.13523353735282873
Endothelial,Ifitm3,0.13151428728707804
Endothelial,Id1,0.13138926642537077
Endothelial,Tm4sf1,0.12425959152269954
Endothelial,mt-Nd1,-0.33972179880135817
Endothelial,Pcp4,-0.18200509766342865
Endothelial,Basp1,-0.1646913752511069
Endothelial,Gng13,-0.16029871983199862
Endothelial,Cst3,-0.15859873207189285
Endothelial,Ftl1,-0.15173883082445527
Endothelial,Car2,-0.14140480139975956
Endothelial,Mt1,-0.1410286341540824
Endothelial,Actb,-0.13833444117144408
Endothelial,Cd81,-0.13780669998651437
Endothelial,Stmn1,-0.1367929101478276
Endothelial,Tmsb10,-0.13607426663646835
Endothelial,Kcnip4,-0.1344370579026997
Endothelial,Xist,-0.13421791457066917
Endothelial,Aldoc,-0.13024154551354664
Endothelial,Ttyh1,-0.12894562245513747
Endothelial,Unc119,-0.12782535140620555
Endothelial,Tma7,-0.12735927706917655
Endothelial,Bc1,-0.12640109997095714
Endothelial,Uba52,-0.12228230275801319
HC,Calb1,0.4203549619344618
HC,Vim,0.32929735214043576
HC,Thsd7b,0.28105614778633087
HC,Nebl,0.2553150562969491
HC,Ndrg1,0.23679140116692884
HC,Arhgap15,0.2164455186986144
HC,Chgb,0.2161238406147758
HC,Utrn,0.2141979704159135
HC,Hs6st3,0.21173918103414846
HC,Dock4,0.1825578323739567
HC,Egfem1,0.1811207007486791
HC,Megf11,0.1792759914242948
HC,Frmpd4,0.17869360614280436
HC,Vwc2,0.1646771379181266
HC,Galnt18,0.1460489861650157
HC,C1ql1,0.14332842136342963
HC,Rgs3,0.14293927465515993
HC,Slc4a5,0.14083806265241455
HC,Rbms3,0.12728280998423058
HC,Ryr3,0.12706590876981422
HC,mt-Nd1,-0.3904137091622564
HC,Tmsb10,-0.2870849635120281
HC,Car2,-0.25590000622819714
HC,Actb,-0.2530143074908589
HC,Bc1,-0.24293873042303343
HC,Synpr,-0.23877526105484537
HC,Pcp4,-0.22967779167782776
HC,Xist,-0.2194781509609332
HC,Gnb1,-0.21700951585246106
HC,Asic2,-0.1983604718362531
HC,Nrg3,-0.19615142051982856
HC,Tenm2,-0.19109268536581944
HC,Cntnap2,-0.18827537301667188
HC,Stmn1,-0.1854959198298446
HC,Gng13,-0.17733601667256402
HC,Grm8,-0.17529072961053543
HC,Dab1,-0.1674388455929303
HC,Ttyh1,-0.16312312336669482
HC,Lhfp,-0.16111799604255728
HC,Pax6,-0.16082288661929384
MG,Apoe,0.8366011432526389
MG,Glul,0.7132772370860021
MG,Dapl1,0.5409703888796069
MG,Ccn2,0.5231504724529217
MG,Clu,0.5196942760213528
MG,Prdx6,0.4769668525976343
MG,Dbi,0.4062636059531125
MG,Col9a1,0.3614253612336667
MG,Acsl3,0.35211888686066656
MG,Aqp4,0.34605855149476605
MG,Gpr37,0.3429042076599247
MG,Rlbp1,0.3341100473997757
MG,Gng5,0.3287613647109649
MG,Il33,0.31808237332728617
MG,Dkk3,0.311583896376605
MG,Lhx2,0.27828903517883125
MG,Mfge8,0.27244340873843037
MG,Nfix,0.26021456609152954
MG,Spc25,0.2457482098682908
MG,Abca8a,0.23491256079244524
MG,Hspa1a,-0.685615821544473
MG,mt-Nd1,-0.5118534723812327
MG,Hspa5,-0.4243166151083463
MG,Creb5,-0.40817916225568995
MG,Atf3,-0.36789395358066673
MG,Ttr,-0.3622297516945653
MG,Eftud2,-0.35278230511307895
MG,Mt1,-0.34237966482591975
MG,Fos,-0.33755805368905056
MG,Pcp4,-0.3371684455912639
MG,Bsg,-0.3329788306335624
MG,Mt2,-0.3304863568070058
MG,Unc119,-0.32851011450355855
MG,Junb,-0.32802511672322365
MG,Dnajb1,-0.32588996511517887
MG,Jun,-0.3242385805784481
MG,Inpp4b,-0.31171333834752135
MG,Klf6,-0.300869212988783
MG,Ubc,-0.27797948618364754
MG,Rgr,-0.2725996613956612
Microglia,Ctss,0.32874436576767607
Microglia,C1qb,0.2839479191911871
Microglia,Tmsb4x,0.2671956727939761
Microglia,C1qa,0.24411158451490778
Microglia,B2m,0.23621923889882895
Microglia,Fcer1g,0.2076234169863162
Microglia,Hexb,0.20559770537903513
Microglia,Tyrobp,0.19630751879420952
Microglia,C1qc,0.18757256775416992
Microglia,Laptm5,0.15127992585743197
Microglia,Ccl4,0.14419104620478557
Microglia,Selenop,0.14002950301253972
Microglia,Ctsz,0.1346265318065633
Microglia,Gm2000,0.1329924719411167
Microglia,Cd53,0.13147827336280904
Microglia,Trem2,0.13053270811951195
Microglia,Coro1a,0.1291316745860393
Microglia,S100a6,0.12834674128865536
Microglia,Ly86,0.12805206243469686
Microglia,Cd52,0.12720825302076214
Microglia,Bsg,-0.3440362926314682
Microglia,mt-Nd1,-0.32823749315919415
Microglia,Bc1,-0.286219216802967
Microglia,Pcp4,-0.2417640555881635
Microglia,Stmn1,-0.22228099705776866
Microglia,Gng13,-0.21208441610000037
Microglia,Glul,-0.2041488175417685
Microglia,Ttyh1,-0.20233217294132844
Microglia,Unc119,-0.2006847679346954
Microglia,Ebf1,-0.19481796846355404
Microglia,Pax6,-0.19455904839574317
Microglia,Dbi,-0.19196775797250218
Microglia,Car2,-0.18979309556174964
Microglia,Flt1,-0.18774955886620853
Microglia,Gnb1,-0.18437039819729864
Microglia,Clu,-0.17940200354667007
Microglia,Aldoc,-0.17005029017661866
Microglia,Cldn5,-0.1575181561852181
Microglia,Pnn,-0.1472825340818606
Microglia,Ptgds,-0.1471995713271818
Pericyte,Rgs5,0.3126144366114089
Pericyte,Myl9,0.2816400357871104
Pericyte,Igfbp7,0.2612715258381809
Pericyte,Cald1,0.25468006365081075
Pericyte,Mgp,0.23116402015961338
Pericyte,Vtn,0.2148684294169163
Pericyte,Mfge8,0.19258900259746137
Pericyte,Dlc1,0.17563995646743852
Pericyte,Higd1b,0.16903412336250292
Pericyte,Plcl1,0.16268585883245779
Pericyte,Sparcl1,0.1598497478137778
Pericyte,Ndufa4l2,0.1565391535281974
Pericyte,Atp1a2,0.15045595162852274
Pericyte,Pde3a,0.1455430457044689
Pericyte,Mylk,0.14151035232062054
Pericyte,Arhgap42,0.13647316563691117
Pericyte,Crip1,0.13121857032098105
Pericyte,Ebf1,0.1309673231653215
Pericyte,Rbms3,0.1294243369755106
Pericyte,Pdgfrb,0.12762564196814405
Pericyte,Bsg,-0.347401173979368
Pericyte,Actb,-0.3000319669180073
Pericyte,Tmsb10,-0.2816893017562149
Pericyte,Cldn5,-0.28095717214268306
Pericyte,mt-Nd1,-0.27304408538992864
Pericyte,Flt1,-0.27143345747891867
Pericyte,Pcp4,-0.24798881307051873
Pericyte,Gng13,-0.24291353103614582
Pericyte,Bc1,-0.23671893962341223
Pericyte,Ftl1,-0.22511619260545576
Pericyte,Klf2,-0.2248287119810709
