Name	Marker	Curated	Queried	Major_Name
AC29	Pcp4l1		Queried	AC
AC29	Shisa8		Queried	AC
AC29	Tmem108		Queried	AC
AC29	Vstm2b		Queried	AC
AC29	Zeb2		Queried	AC
AC3	Apba1		Queried	AC
AC3	Calm1		Queried	AC
AC3	Car2		Queried	AC
AC3	Csmd3		Queried	AC
AC3	Dab1		Queried	AC
AC3	Dync1i1		Queried	AC
AC3	Eif1b		Queried	AC
AC3	Gjd2	Curated		AC
AC3	Kcnma1		Queried	AC
AC3	Magi2		Queried	AC
AC3	Nebl		Queried	AC
AC3	Nfia		Queried	AC
AC3	Nrg1_ensmusg00000062991		Queried	AC
AC3	Pak5		Queried	AC
AC3	Pde8b		Queried	AC
AC3	Rbfox1		Queried	AC
AC30	Calb2		Queried	AC
AC30	Cntn5		Queried	AC
AC30	Egfem1		Queried	AC
AC30	Grid2		Queried	AC
AC30	Igfbp5	Curated		AC
AC30	Lgr5		Queried	AC
AC30	Lrfn5		Queried	AC
AC30	Lrp1b		Queried	AC
AC30	Nlgn1		Queried	AC
AC30	Ppp1r17		Queried	AC
AC30	Stmn1		Queried	AC
AC31	Cacng3		Queried	AC
AC31	Cdh20		Queried	AC
AC31	Chgb		Queried	AC
AC31	Csmd1		Queried	AC
AC31	Cxcl14		Queried	AC
AC31	Filip1l		Queried	AC
AC31	Hs6st3		Queried	AC
AC31	Il1rapl2		Queried	AC
AC31	Pcp4		Queried	AC
AC31	Pcsk2		Queried	AC
AC31	Ptprd		Queried	AC
AC31	Stxbp6	Curated	Queried	AC
AC31	Tac1		Queried	AC
AC31	Tafa2		Queried	AC
AC31	Tpbg		Queried	AC
AC31	Zfhx3		Queried	AC
AC31	Zmat4		Queried	AC
AC32	Adarb2		Queried	AC
AC32	Cdh18		Queried	AC
AC32	Cntnap5a		Queried	AC
AC32	Kcna6		Queried	AC
AC32	Kcnip1		Queried	AC
AC32	Lingo2		Queried	AC
AC32	Maf		Queried	AC
AC32	Ncam2		Queried	AC
AC32	Pcdh7		Queried	AC
AC32	Pcdh9		Queried	AC
AC32	Plcb1		Queried	AC
AC32	Ptprd		Queried	AC
AC32	Ramp3	Curated		AC
AC32	Sorcs3		Queried	AC
AC32	Tac1		Queried	AC
AC32	Tfap2b		Queried	AC
AC32	Zeb2		Queried	AC
AC33	Asic2		Queried	AC
AC33	Cpne8		Queried	AC
AC33	Csmd1		Queried	AC
AC33	Efna5		Queried	AC
AC33	Gabrg3		Queried	AC
AC33	Lamp5		Queried	AC
AC33	Mast4		Queried	AC
AC33	Ntm		Queried	AC
AC33	Pcp4		Queried	AC
AC33	Pcsk2		Queried	AC
AC33	Rbfox1		Queried	AC
AC33	Robo3	Curated		AC
AC33	Schip1		Queried	AC
AC33	Spock1		Queried	AC
AC33	Tafa1		Queried	AC
AC33	Tfap2b		Queried	AC
AC33	Zeb2		Queried	AC
AC34	C1ql1		Queried	AC
AC34	Cbln2		Queried	AC
AC34	Cdh20		Queried	AC
AC34	Cdkn1c		Queried	AC
AC34	Csmd1		Queried	AC
AC34	Itm2c		Queried	AC
AC34	Kirrel3		Queried	AC
AC34	Map1b		Queried	AC
AC34	Nap1l1		Queried	AC
AC34	Nav3		Queried	AC
AC34	Pcdh15		Queried	AC
AC34	Pcdh7		Queried	AC
AC34	Pcp4		Queried	AC
AC34	Ralyl		Queried	AC
AC34	Rbfox1		Queried	AC
AC34	Serpine2		Queried	AC
AC34	Sox5		Queried	AC
AC34	Stmn1		Queried	AC
AC34	Tpm2	Curated		AC
AC35	2010007h06rik	Curated		AC
AC35	A930001a20rik		Queried	AC
AC35	Adamtsl1		Queried	AC
AC35	Brinp3		Queried	AC
AC35	Car3		Queried	AC
AC35	Galnt13		Queried	AC
AC35	Glra3		Queried	AC
AC35	Gria1		Queried	AC
AC35	Hpgd		Queried	AC
AC35	Kirrel3		Queried	AC
AC35	Opcml		Queried	AC
AC35	Pcdh17		Queried	AC
AC35	Ppp1r17		Queried	AC
AC35	Ralyl		Queried	AC
AC35	Sgcz		Queried	AC
AC35	Snhg11		Queried	AC
AC35	Trhde		Queried	AC
AC36	Atrnl1		Queried	AC
AC36	Brinp3		Queried	AC
AC36	Calb2		Queried	AC
AC36	Col25a1		Queried	AC
AC36	Dmd		Queried	AC
AC36	Erbb4		Queried	AC
AC36	Galntl6		Queried	AC
AC36	Igfbp7		Queried	AC
AC36	Kcnip4		Queried	AC
AC36	Kctd12	Curated		AC
AC36	Lrrtm4		Queried	AC
AC36	Mgat4c		Queried	AC
AC36	Nkain3		Queried	AC
AC36	Pcdh7		Queried	AC
AC36	Pcp4		Queried	AC
AC36	Spock3		Queried	AC
AC36	Tac1		Queried	AC
AC36	Tafa1		Queried	AC
AC36	Zfhx3		Queried	AC
AC37	Adcy8		Queried	AC
AC37	Crh	Curated		AC
AC37	Efna5		Queried	AC
AC37	Epha5		Queried	AC
AC37	Foxp1		Queried	AC
AC37	Gabrb1		Queried	AC
AC37	Glul		Queried	AC
AC37	Hs6st3		Queried	AC
AC37	Kcnip1		Queried	AC
AC37	Kirrel3		Queried	AC
AC37	Lmo4		Queried	AC
AC37	Nnat		Queried	AC
AC37	Plcb1		Queried	AC
AC37	Ptprd		Queried	AC
AC37	Reln		Queried	AC
AC37	Robo1		Queried	AC
AC37	Sema6a		Queried	AC
AC37	Tenm4		Queried	AC
AC37	Zfp804b		Queried	AC
AC38	Bcl11b	Curated		AC
AC38	Car8		Queried	AC
AC38	Dpp6		Queried	AC
AC38	Erbb4		Queried	AC
AC38	Frmd5		Queried	AC
AC38	Gfra1		Queried	AC
AC38	Id4		Queried	AC
AC38	Kcnd2		Queried	AC
AC38	Kcnip1		Queried	AC
AC38	Lrp1b		Queried	AC
AC38	Lsamp		Queried	AC
AC38	Mgat4c		Queried	AC
AC38	Pbx1		Queried	AC
AC38	Pcdh17		Queried	AC
AC38	Pcdh7		Queried	AC
AC38	Pcp4		Queried	AC
AC38	Sorcs1		Queried	AC
AC39	Ccdc85a		Queried	AC
AC39	Cdh20		Queried	AC
AC39	Epha3		Queried	AC
AC39	Esrrg		Queried	AC
AC39	Kcnb2		Queried	AC
AC39	Lrrtm4		Queried	AC
AC39	Mef2c	Curated		AC
AC39	Nkain3		Queried	AC
AC39	Nrg1_ensmusg00000062991		Queried	AC
AC39	Ntm		Queried	AC
AC39	Pcdh9		Queried	AC
AC39	Ptn		Queried	AC
AC39	Sdk1		Queried	AC
AC39	Spock1		Queried	AC
AC39	Stmn2		Queried	AC
AC39	Stxbp6		Queried	AC
AC39	Zfp804a		Queried	AC
AC4	Car10		Queried	AC
AC4	Gabrg3		Queried	AC
AC4	Hs6st3		Queried	AC
AC4	Kcnb2		Queried	AC
AC4	Kcnh7		Queried	AC
AC4	Lrfn5		Queried	AC
AC4	Mgarp		Queried	AC
AC4	Mt1		Queried	AC
AC4	Nrsn1		Queried	AC
AC4	Prom1	Curated		AC
AC4	Ptprt		Queried	AC
AC4	Slc6a9		Queried	AC
AC40	Cbln2		Queried	AC
AC40	Cngb3		Queried	AC
AC40	Efna5		Queried	AC
AC40	Galntl6		Queried	AC
AC40	Gch1	Curated		AC
AC40	Grm1		Queried	AC
AC40	Grm5		Queried	AC
AC40	Hs6st3		Queried	AC
AC40	Kctd8		Queried	AC
AC40	Kirrel3		Queried	AC
AC40	Lrrc4c		Queried	AC
AC40	Ncam2		Queried	AC
AC40	Nfia		Queried	AC
AC40	Runx1t1		Queried	AC
AC40	Scg2		Queried	AC
AC40	Sorcs1		Queried	AC
AC40	Tac1		Queried	AC
AC40	Tenm4		Queried	AC
AC41	Adarb2		Queried	AC
AC41	C1ql2		Queried	AC
AC41	Car8		Queried	AC
AC41	Dmd		Queried	AC
AC41	Grid2		Queried	AC
AC41	Grm7		Queried	AC
AC41	Kcnd2		Queried	AC
AC41	Kcnip4		Queried	AC
AC41	Kctd16		Queried	AC
AC41	Lingo2		Queried	AC
AC41	Meis2		Queried	AC
AC41	Mgat4c		Queried	AC
AC41	Nrg1_ensmusg00000062991		Queried	AC
AC41	Ntng1		Queried	AC
AC41	Pcdh17		Queried	AC
AC41	Pcp4		Queried	AC
AC41	Pou3f1	Curated		AC
AC41	Sgcd		Queried	AC
AC41	Tafa2		Queried	AC
AC41	Tmsb10		Queried	AC
AC42	Cntn3		Queried	AC
AC42	Cntn5		Queried	AC
AC42	Cpm		Queried	AC
AC42	Emb		Queried	AC
AC42	Etv1	Curated	Queried	AC
AC42	Gabra2		Queried	AC
AC42	Gabrg3		Queried	AC
AC42	Gad1		Queried	AC
AC42	Ntm		Queried	AC
AC42	Pcdh7		Queried	AC
AC42	Ptprm		Queried	AC
AC42	Rbms3		Queried	AC
AC42	Rgs6		Queried	AC
AC42	Rnf220		Queried	AC
AC42	Sox5		Queried	AC
AC42	Spock1		Queried	AC
AC42	Tafa1		Queried	AC
AC43	6430548m08rik		Queried	AC
AC43	Cbln4		Queried	AC
AC43	Chgb		Queried	AC
AC43	Cntnap2		Queried	AC
AC43	Dpp10		Queried	AC
AC43	Gabrb1		Queried	AC
AC43	Kcnip4		Queried	AC
AC43	Lrrtm4		Queried	AC
AC43	Nr4a2		Queried	AC
AC43	Pde4b		Queried	AC
AC43	Prkg1		Queried	AC
AC43	Ralyl		Queried	AC
AC43	Rnf220		Queried	AC
AC43	Robo1		Queried	AC
AC43	Sema6a		Queried	AC
AC43	Sgcd		Queried	AC
AC43	Tbx2	Curated		AC
AC43	Tenm2		Queried	AC
AC43	Unc5c		Queried	AC
AC44	6330403k07rik		Queried	AC
AC44	Cxcl14		Queried	AC
AC44	Dpp10		Queried	AC
AC44	Fstl5		Queried	AC
AC44	Gpr88	Curated	Queried	AC
AC44	Grid2		Queried	AC
AC44	Kirrel3		Queried	AC
AC44	Lrrc4c		Queried	AC
AC44	Mgat4c		Queried	AC
AC44	Nrg1_ensmusg00000062991		Queried	AC
AC44	Oxr1		Queried	AC
AC44	Pcdh9		Queried	AC
AC44	Reln		Queried	AC
AC44	Schip1		Queried	AC
AC44	Sorcs1		Queried	AC
AC44	Tac1		Queried	AC
AC44	Tac2		Queried	AC
AC45	App		Queried	AC
AC45	Csmd1		Queried	AC
AC45	Dcc		Queried	AC
AC45	Dmd		Queried	AC
AC45	Dpp10		Queried	AC
AC45	Erbb4		Queried	AC
AC45	Fat3		Queried	AC
AC45	Hs6st3		Queried	AC
AC45	Kcnip1		Queried	AC
AC45	Kirrel3		Queried	AC
AC45	Mgat4c		Queried	AC
AC45	Nap1l5		Queried	AC
AC45	Nav3		Queried	AC
AC45	Nlgn1		Queried	AC
AC45	Nnat		Queried	AC
AC45	Nr4a2		Queried	AC
AC45	Otor	Curated		AC
AC45	Pcdh15		Queried	AC
AC45	Ralyl		Queried	AC
AC45	Spock1		Queried	AC
AC45	Tmsb4x		Queried	AC
AC46	Ank3		Queried	AC
AC46	C1ql1		Queried	AC
AC46	C1ql2		Queried	AC
AC46	Cntn5		Queried	AC
AC46	Dlg2		Queried	AC
AC46	Filip1l		Queried	AC
AC46	Fstl4		Queried	AC
AC46	Kcnh7		Queried	AC
AC46	Mgat4c		Queried	AC
AC46	Nefl		Queried	AC
AC46	Nefm	Curated		AC
AC46	Pcdh17		Queried	AC
AC46	Rbfox1		Queried	AC
AC46	Sdk1		Queried	AC
AC46	Zfp804a		Queried	AC
AC47	Cbln2		Queried	AC
AC47	Cngb3		Queried	AC
AC47	Csmd3		Queried	AC
AC47	Galnt13		Queried	AC
AC47	Grm7		Queried	AC
AC47	Gucy1a1		Queried	AC
AC47	Lingo2		Queried	AC
AC47	Lrrc4c		Queried	AC
AC47	Lrrtm4		Queried	AC
AC47	Nrcam		Queried	AC
AC47	Pcp4		Queried	AC
AC47	Runx1t1		Queried	AC
AC47	Six3		Queried	AC
AC47	Slc38a5	Curated		AC
AC47	Slit2		Queried	AC
AC47	Tac2		Queried	AC
AC47	Tfap2b		Queried	AC
AC48	6330403k07rik		Queried	AC
AC48	Adra1b	Curated		AC
AC48	Bmerb1		Queried	AC
AC48	C1ql1		Queried	AC
AC48	C1ql2		Queried	AC
AC48	Cplx2		Queried	AC
AC48	Cxcl14		Queried	AC
AC48	Elavl2		Queried	AC
AC48	Grid2		Queried	AC
AC48	Lrp1b		Queried	AC
AC48	Lrrc4c		Queried	AC
AC48	Nrg1_ensmusg00000062991		Queried	AC
AC48	Oxr1		Queried	AC
AC48	Sdk1		Queried	AC
AC48	Sorcs1		Queried	AC
AC48	Stmn2		Queried	AC
AC48	Tac2		Queried	AC
AC48	Tmsb10		Queried	AC
AC49	Cdh20		Queried	AC
AC49	Epha3		Queried	AC
AC49	Erbb4		Queried	AC
AC49	Esrrg		Queried	AC
AC49	Gria1		Queried	AC
AC49	Lingo2		Queried	AC
AC49	Otx2os1		Queried	AC
AC49	Pcdh17		Queried	AC
AC49	Phlda1		Queried	AC
AC49	Sh3bp5	Curated		AC
AC49	Shisa8		Queried	AC
AC49	Slc6a11		Queried	AC
AC49	Vgf		Queried	AC
AC49	Zfhx3		Queried	AC
AC49	Zfp385b		Queried	AC
AC49	Zfp804b		Queried	AC
AC5	C1ql2		Queried	AC
AC5	Cbfa2t3	Curated		AC
AC5	Celf4		Queried	AC
AC5	Dkk3		Queried	AC
AC5	Gad1		Queried	AC
AC5	Gucy1a1		Queried	AC
AC5	Hpgd		Queried	AC
AC5	Kcnip1		Queried	AC
AC5	Kcnip4		Queried	AC
AC5	Lingo2		Queried	AC
AC5	Nckap5		Queried	AC
AC5	Pantr1		Queried	AC
AC5	Pcdh9		Queried	AC
AC5	Pcp4		Queried	AC
AC5	Ptprm		Queried	AC
AC5	Six3		Queried	AC
AC5	Tafa1		Queried	AC
AC5	Tenm3		Queried	AC
AC50	Adarb2		Queried	AC
AC50	App		Queried	AC
AC50	C1ql1		Queried	AC
AC50	C1ql3		Queried	AC
AC50	Cntnap5a		Queried	AC
AC50	Dcc		Queried	AC
AC50	Erbb4		Queried	AC
AC50	Galntl6		Queried	AC
AC50	Impact		Queried	AC
AC50	Ldb2	Curated	Queried	AC
AC50	Lingo2		Queried	AC
AC50	Nav2		Queried	AC
AC50	Nrsn1		Queried	AC
AC50	Plcb1		Queried	AC
AC50	Ptprk		Queried	AC
AC50	Unc5c		Queried	AC
AC50	Zfhx3		Queried	AC
AC51	6430548m08rik		Queried	AC
