Cell,Subclass,Ensembl,Gene,Coefficient
RGC,12_ooDS_NT,ENSMUSG00000004347,Pde1c,0.6799057579761273
RGC,12_ooDS_NT,ENSMUSG00000059742,Kcnh7,0.6640089895590521
RGC,12_ooDS_NT,ENSMUSG00000053477,Tcf4,0.5689834755754
RGC,12_ooDS_NT,ENSMUSG00000028399,Ptprd,0.5597685641985289
RGC,12_ooDS_NT,ENSMUSG00000064293,Cntn4,0.5527082900884804
RGC,12_ooDS_NT,ENSMUSG00000028519,Dab1,0.5248853980120287
RGC,12_ooDS_NT,ENSMUSG00000036095,Dgkb,0.4865387789145368
RGC,12_ooDS_NT,ENSMUSG00000055421,Pcdh9,0.4809410262850446
RGC,12_ooDS_NT,ENSMUSG00000022762,Ncam2,0.4753828868762574
RGC,12_ooDS_NT,ENSMUSG00000029108,Pcdh7,0.47229286287853883
RGC,12_ooDS_NT,ENSMUSG00000049100,Pcdh10,0.4707471458444301
RGC,12_ooDS_NT,ENSMUSG00000055409,Nell1,0.4574648872676305
RGC,12_ooDS_NT,ENSMUSG00000034098,Fstl5,0.4565113472573831
RGC,12_ooDS_NT,ENSMUSG00000063600,Egfem1,0.419517071523899
RGC,12_ooDS_NT,ENSMUSG00000092083,Kcnb2,0.4171501992895222
RGC,12_ooDS_NT,ENSMUSG00000060534,Dcc,0.41515698441028265
RGC,12_ooDS_NT,ENSMUSG00000043531,Sorcs1,-0.9070082177091313
RGC,12_ooDS_NT,ENSMUSG00000029088,Kcnip4,-0.8955238677331906
RGC,12_ooDS_NT,ENSMUSG00000019888,Mgat4c,-0.8045608530623868
RGC,12_ooDS_NT,ENSMUSG00000045083,Lingo2,-0.7855085683651353
RGC,12_ooDS_NT,ENSMUSG00000057098,Ebf1,-0.7762363479827767
RGC,12_ooDS_NT,ENSMUSG00000038872,Zfhx3,-0.6399014923582887
RGC,12_ooDS_NT,ENSMUSG00000034755,Pcdh11x,-0.6038228176732386
RGC,12_ooDS_NT,ENSMUSG00000096914,Galntl6,-0.5438233917381199
RGC,12_ooDS_NT,ENSMUSG00000039488,Cntn5,-0.5430420812632473
RGC,12_ooDS_NT,ENSMUSG00000060924,Csmd1,-0.5148142396115039
RGC,12_ooDS_NT,ENSMUSG00000009734,Pou6f2,-0.5103811910270559
RGC,12_ooDS_NT,ENSMUSG00000038530,Rgs4,-0.46599594742461387
RGC,12_ooDS_NT,ENSMUSG00000032532,Cck,-0.44703614702552247
RGC,12_ooDS_NT,ENSMUSG00000039419,Cntnap2,-0.4390250582514585
RGC,12_ooDS_NT,ENSMUSG00000066392,Nrxn3,-0.426941838506251
RGC,12_ooDS_NT,ENSMUSG00000055540,Epha6,-0.4093229747583968
RGC,12_ooDS_NT,ENSMUSG00000049336,Tenm2,-0.3976320499701292
RGC,12_ooDS_NT,ENSMUSG00000031561,Tenm3,-0.39740549368151384
RGC,12_ooDS_NT,ENSMUSG00000074505,Fat3,-0.3964341279496549
RGC,12_ooDS_NT,ENSMUSG00000039126,Prune2,-0.38200769036955884
RGC,13_Novel,ENSMUSG00000039488,Cntn5,1.1688057187212781
RGC,13_Novel,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,1.0597070330338876
RGC,13_Novel,ENSMUSG00000055026,Gabrg3,0.8704405226159329
RGC,13_Novel,ENSMUSG00000025867,Cplx2,0.6928594589933962
RGC,13_Novel,ENSMUSG00000036815,Dpp10,0.6826433028852563
RGC,13_Novel,ENSMUSG00000038602,Slc35f1,0.6545941146483754
RGC,13_Novel,ENSMUSG00000029108,Pcdh7,0.5841340290528876
RGC,13_Novel,ENSMUSG00000049336,Tenm2,0.552084599602664
RGC,13_Novel,ENSMUSG00000022952,Runx1,0.5266690673348524
RGC,13_Novel,ENSMUSG00000034098,Fstl5,0.483954381521188
RGC,13_Novel,ENSMUSG00000034755,Pcdh11x,0.4336876236088281
RGC,13_Novel,ENSMUSG00000021647,Cartpt,0.4309969280360407
RGC,13_Novel,ENSMUSG00000022658,Tagln3,0.4281304368806648
RGC,13_Novel,ENSMUSG00000063873,Slc24a3,0.41413855591502363
RGC,13_Novel,ENSMUSG00000051910,Sox6,0.4134494614360219
RGC,13_Novel,ENSMUSG00000074505,Fat3,0.40799970292667775
RGC,13_Novel,ENSMUSG00000032036,Kirrel3,0.40761834883336023
RGC,13_Novel,ENSMUSG00000026158,Ogfrl1,0.39959290845467393
RGC,13_Novel,ENSMUSG00000070695,Cntnap5a,0.39925425823896854
RGC,13_Novel,ENSMUSG00000033278,Ptprm,0.39906581344291675
RGC,13_Novel,ENSMUSG00000090223,Pcp4,-1.2504363167992676
RGC,13_Novel,ENSMUSG00000020704,Asic2,-0.9546018522527208
RGC,13_Novel,ENSMUSG00000043531,Sorcs1,-0.8025171335606539
RGC,13_Novel,ENSMUSG00000079157,Nalf1,-0.6684904395083758
RGC,13_Novel,ENSMUSG00000028399,Ptprd,-0.6352794588020328
RGC,13_Novel,ENSMUSG00000047907,Tshz2,-0.5943609626112349
RGC,13_Novel,ENSMUSG00000061080,Lsamp,-0.5808370494470515
RGC,13_Novel,ENSMUSG00000112117,Rmst,-0.5550746798696581
RGC,13_Novel,ENSMUSG00000005716,Pvalb,-0.5335227800222933
RGC,13_Novel,ENSMUSG00000038872,Zfhx3,-0.526407237643039
RGC,13_Novel,ENSMUSG00000044071,Tafa2,-0.5087515370741611
RGC,13_Novel,ENSMUSG00000008658,Rbfox1,-0.5050555755110107
RGC,13_Novel,ENSMUSG00000092341,Malat1,-0.5006656585300417
RGC,13_Novel,ENSMUSG00000046159,Chrm3,-0.48774782777321474
RGC,13_Novel,ENSMUSG00000021536,Adcy2,-0.4826393368680784
RGC,13_Novel,ENSMUSG00000032452,Clstn2,-0.4753523142801634
RGC,13_Novel,ENSMUSG00000059857,Ntng1,-0.47339461391951915
RGC,13_Novel,ENSMUSG00000066392,Nrxn3,-0.4686346194225423
RGC,13_Novel,ENSMUSG00000027674,Pex5l,-0.3916402978137738
RGC,13_Novel,ENSMUSG00000022048,Dpysl2,-0.39117779242139666
RGC,14_ooDS_Cck,ENSMUSG00000021647,Cartpt,1.1835738008794987
RGC,14_ooDS_Cck,ENSMUSG00000019888,Mgat4c,1.0938510512835091
RGC,14_ooDS_Cck,ENSMUSG00000032036,Kirrel3,0.939322881096538
RGC,14_ooDS_Cck,ENSMUSG00000032532,Cck,0.847257899270524
RGC,14_ooDS_Cck,ENSMUSG00000043531,Sorcs1,0.8106210222357194
RGC,14_ooDS_Cck,ENSMUSG00000062991,Nrg1_ENSMUSG00000062991,0.6889044250122374
RGC,14_ooDS_Cck,ENSMUSG00000033910,Gucy1a1,0.6420051266741261
RGC,14_ooDS_Cck,ENSMUSG00000066392,Nrxn3,0.6152275186926462
RGC,14_ooDS_Cck,ENSMUSG00000028883,Sema3a,0.6102751868666824
RGC,14_ooDS_Cck,ENSMUSG00000009734,Pou6f2,0.6059571635691473
RGC,14_ooDS_Cck,ENSMUSG00000022037,Clu,0.6058806711310829
RGC,14_ooDS_Cck,ENSMUSG00000038872,Zfhx3,0.5782278221483753
RGC,14_ooDS_Cck,ENSMUSG00000020704,Asic2,0.5623781824788742
RGC,14_ooDS_Cck,ENSMUSG00000031772,Cntnap4,0.5251977052087393
RGC,14_ooDS_Cck,ENSMUSG00000045083,Lingo2,0.5146769954706037
RGC,14_ooDS_Cck,ENSMUSG00000025889,Snca,0.4997425780889222
RGC,14_ooDS_Cck,ENSMUSG00000060924,Csmd1,0.49719592088625275
RGC,14_ooDS_Cck,ENSMUSG00000040420,Cdh18,0.47996675705740083
RGC,14_ooDS_Cck,ENSMUSG00000079157,Nalf1,0.456961591128924
RGC,14_ooDS_Cck,ENSMUSG00000063887,Nlgn1,0.4421035777347831
RGC,14_ooDS_Cck,ENSMUSG00000050711,Scg2,-0.8241821135758732
RGC,14_ooDS_Cck,ENSMUSG00000022108,Itm2b,-0.716222862275047
RGC,14_ooDS_Cck,ENSMUSG00000059742,Kcnh7,-0.6706571661898217
RGC,14_ooDS_Cck,ENSMUSG00000028399,Ptprd,-0.6536261536246757
RGC,14_ooDS_Cck,ENSMUSG00000029108,Pcdh7,-0.6380285122488779
RGC,14_ooDS_Cck,ENSMUSG00000050587,Lrrc4c,-0.6051494504258287
RGC,14_ooDS_Cck,ENSMUSG00000033615,Cplx1,-0.5662674172769734
RGC,14_ooDS_Cck,ENSMUSG00000029088,Kcnip4,-0.4592079099178974
RGC,14_ooDS_Cck,ENSMUSG00000058571,Gpc6,-0.45005726918734784
RGC,14_ooDS_Cck,ENSMUSG00000055409,Nell1,-0.4453163040669934
RGC,14_ooDS_Cck,ENSMUSG00000001175,Calm1,-0.4409213277199466
RGC,14_ooDS_Cck,ENSMUSG00000022636,Alcam,-0.42346719888758977
RGC,14_ooDS_Cck,ENSMUSG00000029632,Ndufa4,-0.4092846528289208
RGC,14_ooDS_Cck,ENSMUSG00000025551,Fgf14,-0.40661220662766356
RGC,14_ooDS_Cck,ENSMUSG00000049100,Pcdh10,-0.40280751738619014
RGC,14_ooDS_Cck,ENSMUSG00000052572,Dlg2,-0.3920579874410174
RGC,14_ooDS_Cck,ENSMUSG00000021270,Hsp90aa1,-0.3847165744264333
RGC,14_ooDS_Cck,ENSMUSG00000028519,Dab1,-0.3807933346177643
RGC,14_ooDS_Cck,ENSMUSG00000008658,Rbfox1,-0.3794359203668506
RGC,14_ooDS_Cck,ENSMUSG00000051951,Xkr4,-0.3754142941265586
RGC,15_Novel,ENSMUSG00000027210,Meis2,1.044994156411246
RGC,15_Novel,ENSMUSG00000021680,Crhbp,1.0021798689123018
RGC,15_Novel,ENSMUSG00000032036,Kirrel3,0.890240264662658
RGC,15_Novel,ENSMUSG00000053310,Nrgn,0.7995380024128459
RGC,15_Novel,ENSMUSG00000070695,Cntnap5a,0.7983753501513411
RGC,15_Novel,ENSMUSG00000034755,Pcdh11x,0.7339916103605024
RGC,15_Novel,ENSMUSG00000026158,Ogfrl1,0.6584322071933925
