Name	Major_Name	Marker	Ensembl	Coefficient
Microglia	Microglia	C1qc	C1qc	0.1875725677541699
Microglia	Microglia	Ctss	Ctss	0.328744365767676
Microglia	Microglia	Ctsz	Ctsz	0.1346265318065633
Microglia	Microglia	Hexb	Hexb	0.2055977053790351
Microglia	Microglia	Laptm5	Laptm5	0.1512799258574319
Microglia	Microglia	Ly86	Ly86	0.1280520624346968
Microglia	Microglia	Selenop	Selenop	0.1400295030125397
Microglia	Microglia	Tmsb4x	Tmsb4x	0.2671956727939761
Microglia	Microglia	Trem2	Trem2	0.1305327081195119
Pericyte	Pericyte	Atp1a2	Atp1a2	0.1504559516285227
Pericyte	Pericyte	Cald1	Cald1	0.2546800636508107
Pericyte	Pericyte	Crip1	Crip1	0.131218570320981
Pericyte	Pericyte	Dlc1	Dlc1	0.1756399564674385
Pericyte	Pericyte	Mgp	Mgp	0.2311640201596133
Pericyte	Pericyte	Myl9	Myl9	0.2816400357871104
Pericyte	Pericyte	Ndufa4l2	Ndufa4l2	0.1565391535281974
Pericyte	Pericyte	Pde3a	Pde3a	0.1455430457044689
Pericyte	Pericyte	Pdgfrb	Pdgfrb	0.127625641968144
Pericyte	Pericyte	Plcl1	Plcl1	0.1626858588324577
Pericyte	Pericyte	Rgs5	Rgs5	0.3126144366114089
Pericyte	Pericyte	Sparcl1	Sparcl1	0.1598497478137778
RGC	RGC	Galntl6	Galntl6	0.6664815339368044
RGC	RGC	Gngt1	Gngt1	0.6870830089821438
RGC	RGC	Hmgn1	Hmgn1	0.5262449300439853
RGC	RGC	Il1rapl1	Il1rapl1	0.4781931472483109
RGC	RGC	Kcnd2	Kcnd2	0.5376947569147971
RGC	RGC	Kctd16	Kctd16	0.6263580279880877
RGC	RGC	Nrn1	Nrn1	0.479246348298218
RGC	RGC	Rbfox1	Rbfox1	0.5210826768146625
RGC	RGC	Rbpms	Rbpms	0.999984022126286
RGC	RGC	Stmn2	Stmn2	0.4749298019925905
RGC	RGC	Thy1	Thy1	0.6954747869860256
RPE	RPE	Col8a1	Col8a1	0.1035922138186991
RPE	RPE	Ctsd	Ctsd	0.1029142337358774
RPE	RPE	Mt3	Mt3	0.0987818233030022
RPE	RPE	Rbp1	Rbp1	0.2179618781849978
RPE	RPE	Rdh5	Rdh5	0.1954253183393149
RPE	RPE	Rgr	Rgr	0.2360685208772956
RPE	RPE	Rpe65	Rpe65	0.3569518365394733
RPE	RPE	Slc16a1	Slc16a1	0.1653081325936186
RPE	RPE	Slc16a8	Slc16a8	0.1581490054830753
RPE	RPE	Timp3	Timp3	0.1044844669052939
RPE	RPE	Trf	Trf	0.2536551176121612
Rod	Rod	Calb2	Calb2	0.3247491183282402
Rod	Rod	Cartpt	Cartpt	0.3667677299092735
Rod	Rod	Cmss1	Cmss1	0.5440447069408286
Rod	Rod	Dmd	Dmd	0.2701235643975956
Rod	Rod	Epb41	Epb41	0.2724850424386584
Rod	Rod	Marchf1	Marchf1	0.4208515514840056
Rod	Rod	Nefl	Nefl	0.3689245062291743
Rod	Rod	Pde6g	Pde6g	0.2605674135814678
Rod	Rod	Rho	Rho	0.5386637185116973
Rod	Rod	Rp1	Rp1	0.2725084134980423
Rod	Rod	Sag	Sag	0.3489407217310809
